date,id,drone.number,it.distance,treatment
2018-04-05,1.7,2,3.025,zone.1
2018-04-05,1.7,3,3.14,zone.1
2018-04-05,1.7,4,3.129,zone.1
2018-04-05,1.7,5,3.677,zone.1
2018-04-05,1.2,1,3.513,zone.1
2018-04-05,1.2,2,3.068,zone.1
2018-04-05,1.2,3,2.833,zone.1
2018-04-05,2.3,1,3.104,zone.2
2018-04-05,2.3,2,2.933,zone.2
2018-04-05,2.3,3,3.584,zone.2
2018-04-05,2.3,4,3.103,zone.2
2018-04-05,2.3,5,3.083,zone.2
2018-04-20,3.7,1,2.774,zone.3
2018-04-20,3.7,2,2.896,zone.3
2018-04-20,3.7,3,3.728,zone.3
2018-04-16,4.6,1,2.916,zone.4
2018-04-16,4.6,2,2.754,zone.4
2018-04-05,1.6,1,2.513,zone.1
2018-04-05,1.6,2,2.83,zone.1
2018-04-05,1.6,3,3.182,zone.1
2018-04-05,1.6,4,2.678,zone.1
2018-05-14,3.3,1,2.547,zone.3
2018-05-04,2.2,1,2.875,zone.2
2018-05-04,2.2,2,3.099,zone.2
2018-05-04,2.2,3,2.995,zone.2
2018-05-04,2.2,4,3.284,zone.2
2018-04-01,1.3,1,3.478,zone.1
2018-04-01,1.3,2,3.157,zone.1
2018-04-16,2.2,1,3.185,zone.2
2018-04-16,2.2,2,2.235,zone.2
2018-04-01,2.2,1,2.749,zone.2
2018-04-01,2.2,2,3.231,zone.2
2018-03-29,3.2,1,2.498,zone.3
2018-03-29,3.2,2,2.989,zone.3
2018-03-29,3.2,3,2.18,zone.3
2018-04-01,1.5,1,2.555,zone.1
2018-04-01,1.5,2,3.191,zone.1
2018-04-01,1.6,1,2.918,zone.1
2018-04-01,1.6,2,2.971,zone.1
2018-04-01,1.6,3,2.987,zone.1
2018-04-01,1.6,4,3.414,zone.1
2018-05-14,4.1,1,2.528,zone.4
2018-05-14,4.1,2,3.285,zone.4
2018-05-14,4.1,3,2.83,zone.4
2018-04-13,4.6,1,2.989,zone.4
2018-04-13,4.6,2,2.29,zone.4
2018-04-13,4.6,3,2.852,zone.4
2018-04-13,4.6,4,2.896,zone.4
2018-04-13,2.2,1,3.345,zone.2
2018-04-13,2.2,2,3.271,zone.2
2018-04-13,2.2,3,3.285,zone.2
2018-04-13,2.2,4,3.309,zone.2
2018-05-07,3.2,1,2.641,zone.3
2018-05-07,3.2,2,3.078,zone.3
2018-05-07,3.2,3,2.951,zone.3
2018-04-16,3.7,1,3.1,zone.3
2018-04-16,3.7,2,2.945,zone.3
2018-04-16,3.7,3,3.397,zone.3
2018-05-07,2.1,1,3.303,zone.2
2018-05-07,2.1,2,3.453,zone.2
2018-03-29,2.4,1,3.389,zone.2
2018-03-29,2.4,2,3.08,zone.2
2018-05-14,2.3,1,3.241,zone.2
2018-05-14,2.3,2,3.166,zone.2
2018-05-14,2.3,3,3.263,zone.2
2018-05-14,2.3,4,3.451,zone.2
2018-05-14,2.3,5,3.488,zone.2
2018-04-01,2.5,1,2.886,zone.2
2018-05-07,2.1,1,2.758,zone.2
2018-05-07,2.1,2,2.562,zone.2
2018-05-07,2.1,3,3.515,zone.2
2018-05-07,1.5,1,3.128,zone.1
2018-05-07,1.5,2,3.308,zone.1
2018-05-07,1.5,3,3.38,zone.1
2018-04-16,3.3,1,3.826,zone.3
2018-04-16,3.3,2,3.261,zone.3
2018-05-07,2.6,1,2.993,zone.2
2018-05-07,2.6,2,3.196,zone.2
2018-05-07,2.6,3,2.53,zone.2
2018-04-16,4.1,1,2.546,zone.4
2018-04-16,4.1,2,3.081,zone.4
2018-04-16,4.1,3,2.562,zone.4
2018-04-16,4.1,4,2.419,zone.4
2018-04-16,4.1,5,3.245,zone.4
2018-04-13,4.1,1,2.24,zone.4
2018-05-07,1.3,1,2.912,zone.1
2018-05-07,1.3,2,2.768,zone.1
2018-05-07,1.3,3,3,zone.1
2018-04-01,1.7,1,2.901,zone.1
2018-04-01,1.7,2,2.845,zone.1
2018-04-01,1.7,3,2.825,zone.1
2018-04-01,1.7,4,3.228,zone.1
2018-04-01,1.7,5,3.126,zone.1
2018-03-29,1.5,1,3.301,zone.1
2018-03-29,1.5,2,2.979,zone.1
2018-03-29,1.5,3,3.286,zone.1
2018-04-13,2.2,1,3.238,zone.2
2018-04-13,2.2,2,3.239,zone.2
2018-04-13,2.2,3,3.212,zone.2
2018-04-01,1.2,1,3.231,zone.1
2018-04-01,3.7,1,2.984,zone.3
2018-04-01,3.7,2,3.485,zone.3
2018-04-01,3.7,3,3.444,zone.3
2018-05-07,3.3,1,2.895,zone.3
2018-05-07,3.3,2,2.753,zone.3
2018-05-07,4.7,1,2.963,zone.4
2018-05-07,4.7,2,3.022,zone.4
2018-05-07,4.7,3,2.938,zone.4
2018-05-07,4.7,4,3.032,zone.4
2018-04-13,2.5,1,3.528,zone.2
2018-04-13,2.5,2,3.464,zone.2
2018-04-13,2.5,3,3.12,zone.2
2018-04-13,2.5,4,3.195,zone.2
2018-04-16,2.5,1,3.224,zone.2
2018-04-16,2.5,2,3.1,zone.2
2018-04-16,2.5,3,3.416,zone.2
2018-04-16,2.5,4,3.602,zone.2
2018-03-29,2.6,1,2.64,zone.2
2018-03-29,2.6,2,3,zone.2
2018-03-29,2.6,3,3.565,zone.2
2018-04-16,2.6,1,2.451,zone.2
2018-04-16,2.6,2,2.827,zone.2
2018-04-16,2.6,3,1.997,zone.2
2018-04-16,2.6,4,3.465,zone.2
2018-04-16,2.6,5,3.25,zone.2
2018-04-13,2.4,1,3.176,zone.2
2018-04-13,2.4,2,3.083,zone.2
2018-03-07,4.2,1,3.012,zone.4
2018-03-07,4.2,2,2.832,zone.4
2018-05-07,2.2,1,3.076,zone.2
2018-05-07,2.2,2,3.329,zone.2
2018-05-07,2.2,3,3.129,zone.2
2018-04-13,4.4,1,3.685,zone.4
2018-03-26,3.4,1,3.154,zone.3
2018-03-26,3.4,2,3.419,zone.3
2018-07-07,3.5,1,3.328,zone.3
2018-07-07,3.5,2,2.602,zone.3
2018-07-07,3.5,3,2.638,zone.3
2018-07-07,3.5,4,3.21,zone.3
2018-07-07,3.5,5,3.691,zone.3
2018-03-26,4.1,1,3.747,zone.4
2018-03-29,4.1,1,2.937,zone.4
2018-03-29,4.1,2,3.733,zone.4
2018-03-29,4.1,3,3.212,zone.4
2018-03-29,2.2,1,2.853,zone.2
2018-03-29,2.2,2,3.689,zone.2
2018-03-29,2.2,3,3.853,zone.2
2018-03-29,2.2,4,2.45,zone.2
2018-06-07,3.4,1,3.045,zone.3
2018-06-07,3.4,2,3.008,zone.3
2018-06-07,3.4,3,2.601,zone.3
2018-06-07,3.4,4,3.03,zone.3
2018-05-07,2.3,1,3.13,zone.2
2018-05-07,2.3,2,3.247,zone.2
2018-03-26,3.5,1,3.167,zone.3
2018-03-26,3.5,2,3.111,zone.3
2018-04-13,2.7,1,2.974,zone.2
2018-04-13,2.7,2,3.147,zone.2
2018-04-09,4.2,1,3.25,zone.4
2018-04-09,4.2,2,3.249,zone.4
2018-04-13,3.1,1,2.953,zone.3
2018-04-13,3.1,2,3.416,zone.3
2018-04-13,1.3,1,2.839,zone.1
2018-04-13,1.5,1,2.803,zone.1
2018-04-09,1.6,1,2.979,zone.1
2018-04-09,1.6,2,3.13,zone.1
2018-04-09,1.6,3,2.416,zone.1
2018-04-09,1.6,4,3.217,zone.1
2018-04-09,1.6,5,3.389,zone.1
2018-04-13,3.3,1,2.92,zone.3
2018-04-13,3.3,2,3.373,zone.3
2018-04-23,2.5,1,2.983,zone.2
2018-04-09,3.5,1,2.966,zone.3
2018-04-09,3.5,2,3.654,zone.3
