,Sample information,,,Demography,,,,,,microcolony level,,,food remaining,,food provided,,culling,,room conditions,
ID,date,time,initials,n new drones,n total drones,n worker deaths,age class,workers replaced?,drones removed?,activity code,dominant worker,microcolony mass,pollen mass,nectar mass,pollen mass,nectar mass,n culled,frozen? ,temp,humidity
4.4,5/14,,jH,1,2,1,,0/1,0/2,,-,434.73,-,5.84,0.81,14.34,-,,26.8,61
3.6,3/15,20:03,jH,-,-,1,,,,"A,F",-,435.78,-,-,-,14.44,-,,28.2,59
3.6,3/18,,jH,,,,,,,,-,436.27,-,8.06,1.21,14.79,,,,
3.6,3/22,,jH,1,1,0,A,,,"A,C",-,436.56,-,7.31,1.11,14.25,,,27,68
3.6,3/26,,jH,0,0,-,A,,,A,-,437.45,0.9,6.35,1.16,14.86,-,,26.7,65
3.6,3/29,,jH,0,0,1,A,yes,,A,-,437.4,-,9.1,3.13,27.48,-,,27.1,64
3.6,4/1,,jH,5,5,0,A,,0/3,,-,441.66,-,17.58,3.04,27.07,-,,26.6,61
3.6,4/5,,jH,5,5,0,A,,5/5,A,-,443.32,-,15.21,3.15,25.6,-,,25.7,60
3.6,4/9,,jH,7,7,0,A,,0/6,"A,C",-,445.78,8.05,15.21,1.11,17.92,-,,27.2,60
3.6,4/13,,jH,0,2,0,A,,,"A,C",-,438.55,-,10.78,1.05,13.47,-,,27.1,62
3.6,4/16,,jH,4,4,0,A,,3/4,"C,F",-,438.11,-,6.87,1.13,15.91,-,,30.7,46
3.6,4/20,,jH,0,1,0,A,,1/1,"A,C",-,437.71,-,8.35,1.11,14.19,-,,26.7,54
3.6,4/24,,jH,0,0,1,A,1/1,,A,-,437.95,2.3,7.57,3.09,25.39,-,,26,61
3.6,4/28,,,,,,,,,,,,-,17.31,3.05,23.72,,,,
3.6,5/2,,jH,1,1,1,A,,0/1,"A,C",-,442.65,-,18.45,3.09,26.37,-,,27,65
3.6,5/7,,jH,5,6,2,A,2/2,4/6,"A,C",-,444.91,7.36,18.62,1.03,15.53,-,,27,51
3.6,5/11,,,,,,,,,,,,-,7.87,1.08,13.79,,,,
3.6,5/14,,jH,0,2,2,A,0/2,0/2,A,-,438.17,-,7.58,1.04,13.64,-,,26.8,60
4.2,3/15,20:05,jH,-,-,0,A,,,"A,F",-,442.67,-,- ,-,11.11,-,,28.2,60
4.2,3/18,,jH,,,,,,,,-,442.44,-,6.6,0.83,12.71,,,,
4.2,3/22,,jH,-,-,0,A,,,C,-,442.79,-,6.29,0.82,11.79,,,27,68
4.2,3/26,,jH,-,-,1,A,yes,,"C,L",-,443.81,1.65,6.3,0.8,13.32,,,26.7,65
4.2,3/29,,jH,3,3,-,A,yes,2/3,C,,443.02,-,7.98,1.73,19.6,-,,27.1,64
4.2,4/1,,jH,1,2,0,A,,0/2,A,-,445.31,-,11.58,1.8,20.46,-,,26.7,61
4.2,4/5,,jH,4,6,0,A,,4/6,A,-,446.89,-,8.65,1.78,20.17,-,,25.7,60
4.2,4/9,,jH,4,4,1,A,yes,2/3,A,-,447.54,3.13,10.01,0.76,10.99,-,,27.3,60
4.2,4/13,,jH,0,1,1,A,yes,,"C,L",-,443.68,-,7.39,0.82,12.01,-,,27.1,62
4.2,4/16,,jH,0,1,1,,,1/1,,-,443.07,-,7.12,0.76,13.36,-,,30.7,49
4.2,4/20,,jH,0,0,0,A,,,"A,C",-,442.42,-,6.85,0.75,12.48,-,,26.7,54
4.2,4/24,,jH,6,6,1,A,,6/6,"A,L",-,442.5,0.97,6.39,1.76,20.64,-,,26,61
4.2,4/28,,,,,,,,,,,,,8.58,1.8,21.43,,,,
4.2,5/2,,jH,0,0,1,A,0/1,,C,-,446.51,-,13.74,1.72,20.37,-,,27,65
4.2,5/7,,jH,2,2,1,A,,2/2,"A,C",-,446.58,2.48,12.33,0.79,12.55,-,,27,52
4.2,5/11,,,,,,,,,,,,-,6.72,0.75,11.29,,,,
4.2,5/14,,jH,3,3,1,A,0/1,0/3,A,-,443.25,-,6.51,0.82,12.37,-,,26.8,60
2.7,3/15,20:05,jH,-,-,0,A,,,"A,F",-,429.84,-,-,-,23.78,-,,28.2,60
2.7,3/18,,jH,,,,,,,,-,430.51,-,17.25,2.1,24.48,,,,
2.7,3/22,,jH,-,-,0,A,,,A,-,432.1,-,15.44,2.16,17.44,,,27.1,69
2.7,3/26,,jH,-,-,0,A,,,A,-,434.72,3.05,9.06,2.15,17.48,-,,26.7,65
2.7,3/29,,jH,3,3,0,A,,0/3,C,-,433.72,-,10.91,2.09,17.96,-,,27.1,64
2.7,4/1,,jH,3,6,0,A,,4/6,,-,434.33,-,11.15,2.12,20.04,-,,26.7,61
2.7,4/5,,jH,1,3,0,A,,0/3,,-,435.8,-,7.9,2.09,17.79,-,,25.7,60
2.7,4/9,,jH,1,4,0,A,,4/4,C,-,437.31,4.69,7.57,2.1,17.84,-,,27.3,60
2.7,4/13,,jH,5,4,0,A,,2/4,"A,C",-,435.19,-,10.18,2.05,18.62,-,,27.2,62
2.7,4/16,,jH,3,5,0,A,,5/5,,-,433.79,-,11.81,2.1,18.7,-,,30.7,50
2.7,4/20,,jH,4,4,1,A,,3/4,A,-,434.7,-,11.78,2.12,20.13,-,,26.7,54
2.7,4/24,,jH,1,2,0,A,,2/2,A,-,435.98,2.66,8.54,2.08,18.94,-,,26.1,61
2.7,4/28,,,,,,,,,,,,-,8.84,2.06,18.48,,,,
2.7,5/2,,jH,2,2,0,A,,2/2,C,-,437.97,-,12.88,2.01,19.48,-,,27,66
2.7,5/7,,jH,5,5,0,,,4/5,,-,438.81,1.43,9.77,2,18.54,-,,27,52
2.7,5/11,,,,,,,,,,,,-,11.2,2.11,18.96,-,,,
2.7,5/14,,jH,3,4,1,,0/1,0/4,A,-,439.02,-,13.75,2.09,19.96,-,,26.8,60
4.7,3/15,20:10,jH,-,-,0,A,,,"A,F",-,432.93,-,- ,-,13.08,,,28.2,60
4.7,3/18,,jH,,,,,,,,-,433.03,-,7.99,0.81,15.32,,,,
4.7,3/22,,jH,-,-,0,A,,,"A,F",-,433.51,-,7.65,0.83,10.65,,,27.1,70
4.7,3/26,,jH,1,1,1,A,,,L,-,434.08,1.99,6,0.8,12.33,,,26.7,63
4.7,3/29,,jH,0,1,0,A,,yes,C,,437.34,-,7.91,1.75,19.94,-,,27.1,64
4.7,4/1,,jH,0,0,0,A,,,A,-,434.64,-,13.57,1.75,20.65,-,,26.7,62
4.7,4/5,,jH,0,0,1,A,yes,,A,-,435.5,-,11.98,1.75,20.15,-,,25.7,60
4.7,4/9,,jH,1,1,3,A,yes,0/1,,-,436.59,3.06,11.89,0.75,11.6,-,,27.3,60
4.7,4/13,,jH,4,5,1,,,4/5,L,-,433.27,-,7.52,0.83,11.84,-,,27.2,63
4.7,4/16,,jH,1,2,3,A,3/5,1/2,"A,F",-,431.1,-,6.3,0.69,11.45,-,,30.7,52
4.7,4/20,,jH,1,1,3,A,2/3,0/1,L,-,432.52,-,7.39,0.78,12.64,-,,26.8,54
4.7,4/24,,jH,-,-,-,A,,,A,-,432.6,0.9,8.01,1.76,20.82,-,,26.1,61
4.7,4/28,,,,,,,,,,,,,16.97,1.72,21.49,,,,
4.7,5/2,,jH,0,0,4,A,4/4,,A,-,435.66,-,18.45,1.78,22.17,-,,27,66
4.7,5/7,,jH,0,0,1,A,,,A,-,439.73,3.77,10.02,0.78,12.9,-,,27,52
4.7,5/11,,,,,,,,,,,,-,7.98,0.79,11.81,,,,
4.7,5/14,,jH,0,0,3,,0/3,,,-,434.48,-,,0.8,11.84,-,,26.8,60
2.4,3/15,20:12,jH,-,-,0,,,,"A,F",-,437.1,-,-,-,19.08,-,,28.2,58
2.4,3/18,,jH,,,,,,,,-,437.43,-,12.88,2.06,18.27,,,,
2.4,3/22,,jH,-,-,0,A,,,"A,F",-,438.69,-,10.33,2.13,20.93,,,27.1,70
2.4,3/26,,jH,1,1,0,,,,A,-,440.26,2.39,13.26,2.12,22.53,,,26.7,63
2.4,3/29,,jH,1,2,0,A,,2/2,A,-,439.81,-,16.29,2.06,17.67,-,,27.2,64
2.4,4/1,,jH,3,3,0,A,,0/3,,-,440.27,-,17.86,2.04,19.06,-,,26.7,62
2.4,4/5,,jH,5,5,1,A,yes,4/5,,-,441.56,-,9.65,2.08,18.66,-,,26.7,60
2.4,4/9,,jH,4,4,0,A,,4/5+,"A,C",-,442.54,5.49,9.47,2.1,17.53,-,,27.3,60
2.4,4/13,,jH,1,2,0,A,,2/2,A,-,439.08,-,11.36,2.05,19.48,-,,27.2,63
2.4,4/16,,jH,1,0,0,A,no egg laying,,A,-,438.04,-,12.76,2.16,16.72,,,30.7,55
2.4,4/20,,jH,0,0,,A,,,"A,F",-,440.64,-,13.23,2.09,18.86,-,,26.8,54
2.4,4/24,,jH,-,-,2,A,,,A,-,439.3,5.84,15.47,2.03,18.39,-,,26.2,61
2.4,4/28,,,,,,,,,,,,-,9.68,2.08,18.52,,,,
2.4,5/2,,jH,0,0,1,,,,A,-,442.51,-,14.09,1.99,,-,,27.1,66
2.4,5/7,,jH,0,0,1,A,0/1,,"A,C",-,444.18,4.92,12.55,2.02,19.52,-,,27,53
2.4,5/11,,,,,,,,,,,,-,15.98,2.6,19.04,,,,
2.4,5/14,,jH,0,0,1,,0/1,,C,-,442.52,-,12.92,2.06,19.99,-,,26.8,60
3.2,3/15,20:14,jH,-,-,1,A,yes,,"A,F",-,435.68,-,- ,-,14.75,,,28.2,58
3.2,3/18,,jH,,,,,,,,-,435.85,-,7.64,1.12,14.63,,,,
3.2,3/22,,jH,-,-,1,A,yes,,A,-,435.26,-,7.41,1.04,13.86,,,27,68
3.2,3/26,,jH,2,2,1,,,,"C,L",-,436.02,1.04,5.98,1.16,15.29,,,26.7,63
3.2,3/29,,jH,6,6,0,,yes,3/6,A,,440.19,-,8.48,3.1,25.75,-,,27.3,64
3.2,4/1,,jH,1,4,0,A,,0/4,"A,C",-,438.73,-,15.97,3.08,26.46,-,,25.7,62
3.2,4/5,,jH,0,5,0,A,,3/5,,-,443.68,-,13.62,3.17,25.48,-,,25.7,60
3.2,4/9,,jH,3,6,0,A,,5/6,A,-,442.98,6.3,14.47,1.04,13.48,-,,27.3,60
3.2,4/13,,jH,1,2,0,A,,1/2,"A,C,L",-,436.99,-,7.39,1.04,13.87,-,,27.2,63
3.2,4/16,,jH,5,6,0,A,,5/6,,-,435.16,-,6,1.02,12.61,-,,30.7,55
3.2,4/20,,jH,1,2,0,A,,0/2,A,-,436.32,-,7.26,1.11,13.75,-,,26.8,54
3.2,4/24,,jH,,,,A,,,A,-,438.31,1.78,6.97,3.11,24.89,-,,26.2,61
3.2,4/28,,,,,,,,,,,,,9.33,3.08,24.46,,,,
3.2,5/2,,jH,3,5,0,A,,4/5,A,-,444.18,-,17.31,3.06,26.16,-,,27.1,67
3.2,5/7,,jH,2,3,0,A,,3/3,A,-,447.63,6.29,13.08,1.06,14.32,-,,27,53
3.2,5/11,,,,,,,,,,,,-,7.83,1.08,14.89,,,,
3.2,5/14,,jH,3,3,0,A,,,A,-,440.83,-,8.77,1.03,15.74,-,,26.9,61
1.3,3/15,20:16,jH,-,-,1,A,,,"A,F",-,441.01,-,-,-,13.34,-,,28.2,59
1.3,3/18,,jH,,,,,,,,-,440.43,-,7.69,1.1,13.98,,,,
1.3,3/22,,jH,-,-,0,A,,,"C,F",-,440.55,-,7.56,1,13.98,,,27.1,68
1.3,3/26,,jH,-,-,0,A,,,"C,F",-,441.96,3,6.73,1.06,13.93,,,26.8,63
1.3,3/29,,jH,-,-,0,A,,,"A,L",-,440.08,-,7.73,1.06,14.52,-,,27.3,64
1.3,4/1,,jH,4,4,0,A,,2/4,"A,C",-,440.92,-,6.98,1.13,14.77,-,,26.8,62
1.3,4/5,,jH,2,4,1,A,,4/4,"A,L",-,440.63,-,7.3,1.07,14.33,-,,25.7,60
1.3,4/9,,jH,0,0,0,A,,,A,-,440.79,2.76,7.14,1.04,14.18,-,,27.4,60
1.3,4/13,,jH,1,1,1,A,,,L,-,439.68,-,7.99,1.12,13.15,-,,27.3,63
1.3,4/16,,jH,1,2,0,A,1/1,2/2,"A,F",-,438.71,-,6.03,1.12,13.22,,,30.7,57
1.3,4/20,,jH,2,2,0,A,,1/2,C,-,439.86,-,8.22,1.05,14.14,-,,26.8,54
1.3,4/24,,jH,1,1,0,A,,,A,-,440.16,1.57,7.26,1.14,13.33,-,,26.2,61
1.3,4/28,,,,,,,,,,,,-,7.69,1,12.24,,,,
1.3,5/2,,jH,0,0,1,,0/1,,"A,C",-,441.45,-,7.5,1.04,14.32,-,,27.1,67
1.3,5/7,,jH,4,4,2,,2/2,3/4,,-,441.72,1.48,6.98,1.01,13.55,-,,27,54
1.3,5/11,,,,,,,,,,,,-,7.16,1.06,14.78,,,,
1.3,5/14,,jH,2,3,0,A,,,C,-,442.42,-,7.34,1.01,14.29,-,,26.9,61
1.5,3/15,20:20,jH,-,-,,A,,,"A,F",-,441.04,-,- ,-,13.89,-,,28.2,58
1.5,3/18,,jH,,,,,,,,-,440.24,-,7.45,1.09,13.82,,,,
1.5,3/22,,jH,-,-,0,A,,,A,-,440.8,-,7.63,1.15,13.05,-,,27.1,68
1.5,3/26,,jH,-,-,0,A,,,,-,440.88,0.9,6.73,1.12,14.78,-,,26.8,62
1.5,3/29,,jH,4,4,0,A,,3/4,A,,441.26,-,8.34,1.03,15.67,-,,27.3,64
1.5,4/1,,jH,5,6,0,A,,2/6,A,-,441.36,-,8.69,1.12,15.52,-,,26.8,62
1.5,4/5,,jH,4,6,0,A,,5/6,,-,441.17,-,8.31,1.17,13.52,-,,25.7,60
1.5,4/9,,jH,3,4,0,A,,3/4,"A,C",-,441.34,1.52,6.67,1.11,14,-,,27.4,60
1.5,4/13,,jH,0,1,0,A,,1/1,"A,C",-,442.07,-,7.75,1.08,13.81,-,,27.3,63
1.5,4/16,,jH,0,0,0,A,,,"C,L",-,439.39,-,6.89,1.02,12.9,-,,30.7,56
1.5,4/20,,jH,1,1,0,A,,0/1,"C,L",-,441.96,-,8.64,1.14,14.99,-,,26.8,54
1.5,4/24,,jH,4,4,0,A,,,C,-,442.52,2.25,8.91,1.02,14.7,-,,26.1,61
1.5,4/28,,,,,,,,,,,,,8.21,1.09,12.27,,,,
1.5,5/2,,jH,0,3,0,A,,,A,-,441.79,-,8.12,1.06,14.31,-,,27.1,68
1.5,5/7,,jH,0,3,2,A,,3/3,"C,L",-,441.36,1.77,7.8,1.01,12.65,-,,27.1,54
1.5,5/11,,,,,,,,,,,,-,8.94,1.11,14.59,,,,
1.5,5/14,,jH,2,2,0,A,,0/2,"A,C",-,442.81,-,7.64,1.04,14.82,-,,26.9,61
3.1,3/15,20:23,jH,-,-,2,A,yes,,"A,F",-,431.67,-,-,-,13.56,-,,28.2,58
3.1,3/18,,jH,,,,,,,,-,432.03,-,7.27,1.13,14.45,,,,
3.1,3/22,,jH,-,-,0,A,,,C,-,432.06,-,6.47,1.15,14.72,,,27.2,68
3.1,3/26,,jH,1,1,2,,1/2,yes,A,-,432.28,1.53,7.55,1.16,14.28,,,26.8,62
3.1,3/29,,jH,1,1,1,,2/2,,C,-,432.04,-,7.99,3.14,27.35,-,,27.3,64
3.1,4/1,,jH,2,3,0,A,,2/3,C,-,434.32,-,18.89,3.08,26.38,-,,26.8,62
3.1,4/5,,jH,2,3,0,A,,,,-,439.75,-,13.98,3.03,23.91,-,,25.8,60
3.1,4/9,,jH,0,5,0,A,,4/5,A,-,437.99,3.4,12.22,1.08,13.49,-,,27.4,60
3.1,4/13,,jH,1,2,0,A,,2/2,C,-,435.2,-,7.65,1.07,14.32,-,,27.2,63
3.1,4/16,,jH,2,2,0,A,,0/2,"A,C",-,433.26,-,6.68,1.07,13.39,,,30.7,57
3.1,4/20,,jH,6,8,0,A,,5/8,A,-,434.61,-,7.81,1.09,14.37,-,,26.8,54
3.1,4/24,,jH,0,3,0,A,,,"A,C",-,433.57,2.21,6.22,3.01,25.67,-,,26.2,61
3.1,4/28,,,,,,,,,,,,,10.34,3.01,24.99,,,,
3.1,5/2,,jH,0,0,0,A,,,C,-,440.79,-,16.36,3.06,26.9,-,,27.1,68
3.1,5/7,,jH,3,3,2,A,2/2,3/3,,-,442.42,4.21,13.94,1.01,14.68,-,,27.1,55
3.1,5/11,,,,,,,,,,,,,6.83,1.05,14.7,,,,
3.1,5/14,,jH,2,2,0,,,,A,-,437.87,-,7.37,1.03,14.78,-,,27,61
1.5,3/15,20:20,jH,-,-,,A,,,"A,F",-,441.04,-,- ,-,13.89,-,,28.2,58
1.5,3/18,,jH,,,,,,,,-,440.24,-,7.45,1.09,13.82,,,,
1.5,3/22,,jH,-,-,0,A,,,A,-,440.8,-,7.63,1.15,13.05,-,,27.1,68
1.5,3/26,,jH,-,-,0,A,,,,-,440.88,0.9,6.73,1.12,14.78,-,,26.8,62
1.5,3/29,,jH,4,4,0,A,,3/4,A,,441.26,-,8.34,1.03,15.67,-,,27.3,64
1.5,4/1,,jH,5,6,0,A,,2/6,A,-,441.36,-,8.69,1.12,15.52,-,,26.8,62
1.5,4/5,,jH,4,6,0,A,,5/6,,-,441.17,-,8.31,1.17,13.52,-,,25.7,60
1.5,4/9,,jH,3,4,0,A,,3/4,"A,C",-,441.34,1.52,6.67,1.11,14,-,,27.4,60
1.5,4/13,,jH,0,1,0,A,,1/1,"A,C",-,442.07,-,7.75,1.08,13.81,-,,27.3,63
1.5,4/16,,jH,0,0,0,A,,,"C,L",-,439.39,-,6.89,1.02,12.9,-,,30.7,56
1.5,4/20,,jH,1,1,0,A,,0/1,"C,L",-,441.96,-,8.64,1.14,14.99,-,,26.8,54
1.5,4/24,,jH,4,4,0,A,,,C,-,442.52,2.25,8.91,1.02,14.7,-,,26.1,61
1.5,4/28,,,,,,,,,,,,,8.21,1.09,12.27,,,,
1.5,5/2,,jH,0,3,0,A,,,A,-,441.79,-,8.12,1.06,14.31,-,,27.1,68
1.5,5/7,,jH,0,3,2,A,,3/3,"C,L",-,441.36,1.77,7.8,1.01,12.65,-,,27.1,54
1.5,5/11,,,,,,,,,,,,-,8.94,1.11,14.59,,,,
1.5,5/14,,jH,2,2,0,A,,0/2,"A,C",-,442.81,-,7.64,1.04,14.82,-,,26.9,61
