,Sample information,,,Demography,,,,,,microcolony level,,,food remaining,,food provided,,culling,,room conditions,
ID,date,time,initials,n new drones,n total drones,n worker deaths,age class,workers replaced?,drones removed?,activity code,dominant worker,microcolony mass,pollen mass,nectar mass,pollen mass,nectar mass,n culled,frozen? ,temp,humidity
3.7,4/9,,jH,0,0,0,A,,,C,-,443.9,5.64,17.95,1.13,14.5,-,,26.8,51
3.7,4/13,,jH,1,1,1,C,1/1,1/1,,-,439.21,-,7.59,1.11,13.52,-,,26.6,60
3.7,4/16,,jH,5,5,0,A,,3/5,,-,438.5,-,7.66,1.15,14.95,-,,30.9,29
3.7,4/20,,jH,2,4,0,A,,3/4,C,-,438.53,-,7.74,1.1,14.7,-,,26.3,56
3.7,4/24,,jH,2,3,1,A,,1/3,"A,C",-,439.53,2.44,8.25,3.05,26.24,-,,25.8,57
3.7,4/28,,,,,,,,,,,,-,14.31,3.03,25.38,,,,
3.7,5/2,,jH,2,5,1,A,,,"A,C",-,443.76,-,19.81,3.02,25.81,-,,26.6,61
3.7,5/7,,jH,0,0,1,,1/1,,"A,C",-,444.7,7.57,22.09,1.13,13.73,-,,26.7,43
3.7,5/11,,,,,,,,,,,,,10.17,1.02,12.79,,,,
3.7,5/14,,jH,0,0,1,A,0/1,,C,-,440.36,,9.49,1.09,14.51,-,,26.5,58
2.3,3/15,19:35,jH,-,-,0,,,,"C,F",-,435.26,-,-,-,19.38,,,27.9,51
2.3,3/18,,jH,,,,,,,,-,435.74,-,7.96,2.1,18.55,,,,
2.3,3/22,,jH,-,-,0,A,,,C,-,437.3,-,6.78,2,18.94,,,26.7,67
2.3,3/26,,jH,1,1,0,,,1/1,"C,L",-,439.94,0.9,9.14,2.1,19.03,,,26.2,61
2.3,3/29,,jH,2,2,0,A,,0/0,"A,C",-,440.49,-,8.84,2.19,18.71,-,,26.8,57
2.3,4/1,,jH,0,2,0,A,,2/2,C,-,441.71,-,8.18,2.08,18.68,-,,26.2,53
2.3,4/5,,jH,7,7,0,A,,5/7,C,-,441.89,-,7.73,2.13,17.64,-,,25.2,42
2.3,4/9,,jH,5,8,0,A,,5/8,,-,442.51,3.68,7.66,2.06,18.15,-,,26.8,54
2.3,4/13,,jH,4,7,0,A,,7/7,,-,440.88,-,7.65,2.01,19.65,-,,26.7,61
2.3,4/16,,jH,2,2,0,A,,0/2,C,-,441.58,-,12.47,2.14,18.17,-,,30.9,32
2.3,4/20,,jH,2,2,1,A,,2/2,"C,F",-,444.99,-,8.65,2.11,18.62,-,,26.4,57
2.3,4/24,,jH,0,0,2,A,2/2,,A,-,448.14,5.12,9.32,2.02,19.63,-,,25.9,60
2.3,4/28,,,,,,,,,,,,,8.16,2.04,19.09,,,,
2.3,5/2,,jH,0,0,0,A,,,A,-,447.28,-,10.37,2.03,19.36,-,,26.6,61
2.3,5/7,,jH,5,5,0,A,,2/5,,-,450.35,1.84,12.91,2.03,19.38,-,,26.9,43
2.3,5/11,,,,,,,,,,,,,7.5,2.04,18.92,,,,
2.3,5/14,,jH,4,6,1,A,,,,-,447.54,-,7.14,2.06,20.33,-,,26.5,60
4.6,3/15,,jH,-,-,0,,,,"A,F",-,443.7,-,-,-,12.07,-,,28,57
4.6,3/18,,jH,,,,,,,,-,443.45,-,6.23,0.76,12.8,,,,
4.6,3/22,,jH,-,-,0,A,,,A,-,442.83,-,6.92,0.81,11.7,,,26.7,66
4.6,3/26,,jH,-,-,0,,,,"C,L",-,444.49,1.37,6.77,0.78,12,,,26.3,62
4.6,3/29,,jH,-,-,2,,yes,,"L,F",-,443.74,-,7.5,1.75,19.84,-,,27,63
4.6,4/1,,jH,5,5,0,A,,5/5,A,-,447.11,-,8.89,1.83,20.64,-,,26.4,58
4.6,4/5,,jH,6,6,0,A,,4/6,,-,445.97,-,8.96,1.85,19.48,-,,25.4,44
4.6,4/9,,jH,1,3,0,A,,2/3,,-,446.6,1.85,8.01,0.75,12.49,-,,27,60
4.6,4/13,,jH,2,4,0,C,,4/4,,-,444.96,-,7.75,0.83,12.23,-,,26.8,61
4.6,4/16,,jH,4,4,0,A,,2/4,A,-,443.96,-,6.87,0.69,12.58,-,,30.9,40
4.6,4/20,,jH,3,5,3,A,2/3,4/5,A,-,442.82,-,7.06,0.78,11.46,-,,26.5,57
4.6,4/24,,jH,2,4,1,A,,2/4,"L,F",-,443.84,0.91,7.43,1.76,20.29,-,,26,61
4.6,4/28,,,,,,,,,,,,,7.79,1.72,20.93,,,,
4.6,5/2,,jH,1,3,2,A,1/2,2/3,"A,C",-,448.35,-,12.05,1.78,20.71,-,,26.7,62
4.6,5/7,,jH,0,1,1,A,0/1,0/1,"A,C",-,449.34,1.35,10,0.78,12.12,-,,27,45
4.6,5/11,,,,,,,,,,,,-,7.03,0.79,11.29,,,,
4.6,5/14,,jH,0,1,1,A,0/1,0/1,C,-,444.97,-,6.49,0.8,12.43,-,,26.6,60
4.1,3/15,19:45,jH,-,-,0,A,,,"A,F",-,441.91,-,-,-,11.68,-,,28.1,59
4.1,3/18,,jH,,,,,,,,-,441.39,-,6.1,0.8,11.64,,,,
4.1,3/22,,jH,-,-,0,A,,,,-,441,-,6.56,0.8,12.69,,,26.7,67
4.1,3/26,,jH,1,1,0,,,yes,"C,L",-,440.71,0.44,6.37,0.83,12.26,-,,26.4,62
4.1,3/29,,jH,3,3,1,A,1/2,yes,"A,F",-,441.04,-,6.87,1.75,19.25,-,,26.9,62
4.1,4/1,,jH,5,5,2,A,,5/5,,-,442.76,-,11.52,1.8,19.58,-,,26.4,59
4.1,4/5,,jH,3,3,1,A,yes,3/3,A,-,442.96,-,10.44,1.83,19.29,-,,25.5,50
4.1,4/9,,jH,0,0,1,,yes,,A,-,446.17,3.29,7.97,0.78,12.01,-,,27,58
4.1,4/13,,jH,1,1,0,A,,1/1,"C,L",-,442.03,-,7.06,0.79,11.78,-,,26.9,61
4.1,4/16,,jH,5,5,0,A,,5/5,,-,440.57,-,7.48,0.76,13.26,-,,30.9,43
4.1,4/20,,jH,1,1,0,A,,0/1,A,-,439.53,-,7.69,0.75,12.41,-,,26.5,56
4.1,4/24,,jH,0,0,1,A,1/1,0/0,"A,L",-,440.1,1.03,7.19,1.84,21.22,-,,25.9,61
4.1,4/28,,,,,,,,,,-,,,8.46,1.72,23.27,-,,,
4.1,5/2,,jH,3,3,0,A,,2/3,,-,445.01,-,16.52,1.77,20.54,-,,26.7,62
4.1,5/7,,jH,0,1,2,A,2/2,0/1,C,-,445.73,2.69,12.99,0.75,12.7,-,,27,45
4.1,5/11,,,,,,,,,,,,-,7.55,0.74,10.88,,,,
4.1,5/14,,jH,3,4,1,A,0/1,3/4,"A,C",-,441.5,-,6.39,0.74,17.08,-,,26.6,60
2.2,3/15,,jH,-,-,5,A,yes,,,-,433.13,-,-,-,19.75,-,,28.1,60
2.2,3/18,,jH,,,,,,,,,433.23,13.43,-,2.09,18.18,,,,
2.2,3/22,,jH,-,-,1,,,,,-,434.39,-,8.05,1.95,18.46,,,26.7,67
2.2,3/26,,jH,-,-,1,,yes,,"C,F",-,436.3,0.82,7.49,2.15,18.84,,,,
2.2,3/29,,jH,4,4,0,A,,yes,A,-,437.66,-,9.26,2.14,18.24,-,,27,62
2.2,4/1,,jH,3,3,0,A,,2/3,A,-,438.69,-,8.88,2.05,19.73,-,,26.5,60
2.2,4/5,,jH,3,4,0,A,,3/4,A,-,438.63,-,7.16,1.98,18.01,-,,25.6,54
2.2,4/9,,jH,5,7,0,A,,6/8,A,-,439.47,3.67,7,2.06,19.05,-,,27,57
2.2,4/13,,jH,5,7,0,A,,7/7,A,-,437.22,-,8.33,2.03,18.5,-,,26.9,61
2.2,4/16,,jH,3,3,0,A,,2/3,,-,437.88,-,8.24,2.02,17.84,-,,30.9,46
2.2,4/20,,jH,0,1,0,A,,1/1,A,-,439.73,-,7.55,2.08,18.3,-,,26.5,55
2.2,4/24,,jH,2,2,0,A,,2/2,"A,C",-,442.62,2.29,8.43,2.02,18.89,-,,25.9,61
2.2,4/28,,,,,,,,,,-,,,7.56,2.06,17.32,,,,
2.2,5/2,,jH,7,7,0,A,,7/7,,-,445.88,-,9.6,2,20.56,-,,26.8,62
2.2,5/7,,jH,4,4,0,A,,3/4,A,-,443.51,4.17,11.4,2.03,18.09,-,,27,45
2.2,5/11,,,,,,,,,,,,-,9.38,2.04,18.74,,,,
2.2,5/14,,jH,5,6,2,A,0/2,4/6,"A,C",-,444.15,-,11.67,2.07,20.27,-,,26.7,60
2.5,3/15,19:38,jH,-,-,0,A,,,"C,F",-,439.29,-,-,-,19.74,-,,28,53
2.5,3/18,,jH,,,,,,,,-,440.45,-,9.82,2.09,17.55,,,,
2.5,3/22,,jH,-,-,0,A,,,"C,F",-,441.04,-,7.94,1.96,19.45,,,26.7,67
2.5,3/26,,jH,-,-,0,A,,,"A,F",-,443.02,1.35,6.58,2.14,19.29,,,26.3,62
2.5,3/29,,jH,4,4,0,A,,4/4,A,-,445.32,-,8.76,2.03,18.63,-,,26.9,60
2.5,4/1,,jH,3,3,0,A,,1/3,"A,C",-,445.32,-,8.98,2.06,19.54,-,,26.3,56
2.5,4/5,,jH,2,4,1,A,,3/4,,-,446.07,-,7.66,2.05,18.18,-,,25.3,42
2.5,4/9,,jH,3,4,1,,yes,0/4,C,-,446.57,3.28,7.99,2.12,18.53,-,,26.9,59
2.5,4/13,,jH,1,5,0,A,yes,5/5,"C,L",-,445.59,-,7.34,2.02,19.49,-,,26.8,61
2.5,4/16,,jH,4,4,0,A,,0/4,"A,C",-,446.88,-,8.16,2.06,19.4,-,,30.9,35
2.5,4/20,,jH,2,2,0,A,,2/2,"A,C",-,446.92,-,7.2,2.07,18.37,-,,26.5,58
2.5,4/24,,jH,4,4,1,,,3/4,C,-,449.13,3.37,7.59,2.05,18.62,-,,25.9,61
2.5,4/28,,,,,,,,,,,,,7.39,2.02,17.89,,,,
2.5,5/2,,jH,2,3,3,A,3/3,2/3,A,-,450.25,-,8.4,2.06,20.65,-,,26.7,62
2.5,5/7,,jH,0,0,2,A,,,A,-,450.23,4.18,11.83,2.11,18.52,-,,27,44
2.5,5/11,,,,,,,,,,,,,11.66,2.08,19.65,,,,
2.5,5/14,,jH,0,0,3,A,0/3,,A,-,449.45,-,13.95,2.04,19.55,-,,26.6,60
2.6,3/15,19:52,jH,-,-,0,A,,,"A,F",-,446.92,-,-,-,18.38,-,,28.1,60
2.6,3/18,,jH,,,,,,,,-,447.95,-,9.23,2.14,17.78,,,,
2.6,3/22,,jH,-,-,0,A,,,"A,C",-,448.7,-,8.08,1.97,17.94,,,26.8,67
2.6,3/26,,jH,6,6,0,A,,4/6,A,-,450.22,2.36,7.64,2.24,17.89,,,26.4,
2.6,3/29,,jH,4,6,0,A,,5/6,A,-,448.8,-,10.97,2.06,18.55,-,,27,62
2.6,4/1,,jH,0,2,0,A,,2/2,,-,451.05,-,9.07,2.04,19.87,-,,26.5,63
2.6,4/5,,jH,3,3,0,A,,2/3,,-,451,-,8.15,2.08,18.13,-,,25.6,60
2.6,4/9,,jH,0,1,0,A,,1/1,C,-,452.22,2.44,7.19,2.08,18.75,-,,27,56
2.6,4/13,,jH,0,0,0,A,,,"A,C",-,452.4,-,9.23,2.04,17.75,-,,26.9,56
2.6,4/16,,jH,3,3,0,A,,3/3,,-,453.22,-,8.43,2.02,18.57,-,,30.9,49
2.6,4/20,,jH,7,7,0,A,,6/7,"A,C",-,452.94,-,7.43,2.03,19.1,-,,26.6,55
2.6,4/24,,jH,5,6,0,A,,5/6,,-,450.04,3.25,9.6,2.1,17.69,-,,25.9,61
2.6,4/28,,,,,,,,,,,,,7.73,2.04,18.51,,,,
2.6,5/2,,jH,7,8,0,A,,7/8,,-,455.91,-,11.52,2.06,22.19,-,,26.8,63
2.6,5/7,,jH,3,4,1,A,1/1,3/4,,-,453.38,3.31,12.4,2.08,19.33,-,,27,47
2.6,5/11,,,,,,,,,,,,-,10.51,2.03,17.38,,,,
2.6,5/14,,jH,3,4,2,A,,,"C,L",-,456.42,-,10.77,2.09,19.34,-,,26.7,60
2.1,3/15,19:52,jH,-,-,0,A,,,"A,F",-,440.14,-,-,-,19.22,-,,28.1,61
2.1,3/18,,jH,,,,,,,,-,441.29,-,8.82,2.09,17.28,,,,
2.1,3/22,,jH,-,-,0,A,,,"C,L",-,440.53,-,7.51,2.17,17.77,,,26.8,68
2.1,3/26,,jH,-,-,0,A,,,"A,F",-,443.21,2.43,7.68,2.15,18.3,,,26.5,63
2.1,3/29,,jH,-,-,1,A,yes,,A,-,442.48,-,11.14,2.14,17.52,-,,27.1,63
2.1,4/1,,jH,6,6,3,A,2/3,5/6,A,-,444.44,-,10.27,2.03,19.75,-,,26.5,60
2.1,4/5,,jH,2,3,1,,yes,2/3,A,-,445.5,-,8.78,2.05,18.89,-,,25.7,59
2.1,4/9,,jH,2,3,2,,yes,3/3,A,-,445.69,2.67,11.66,2.04,17.5,-,,27.1,56
2.1,4/13,,jH,0,0,0,A,,,"A,C",-,442.54,-,8.97,2.01,18.95,-,,27,62
2.1,4/16,,jH,0,0,3,,2/3,,,-,446.08,-,8.4,2.14,18.44,-,,30.9,51
2.1,4/20,,jH,5,5,2,A,2/2,3/5,,-,447.2,-,8.9,2.08,19.55,-,,26.6,55
2.1,4/24,,jH,0,2,2,A,,2/2,A,-,450.58,4.27,8.21,2.08,19.26,-,,25.9,61
2.1,4/28,,,,,,,,,,,,,8.68,2.05,18.21,,,,
