id,date,time,initials,temp,humidity,activity,mc_mass,n_drones,n_new_drones,n_worker_deaths,brood,workers_replaced,drones_removed,drones_frz,p_mass_rm,n_mass_rm,p_mass_fd,n_mass_fd,notes,treatment,fd.day
2.5,2018-11-13,21:02:00,GW,27.4,72,C,437.6,0,0,1,"E,H",1-Jan,,,NA,20.03,2.03,17.26,,zone.2,1
2.5,2018-11-16,17:49:00,GW,27.1,69,C,439.49,0,0,3,"E,H",3-Mar,,,NA,14.25,1.98,19.16,,zone.2,2
2.5,2018-11-20,20:11:00,GW,27.3,65,C,441.67,0,0,2,"E,H",2-Feb,,,4.79,13.34,2.03,17.35,,zone.2,3
2.5,2018-11-25,15:24:00,GW,26.7,69,C,438.73,0,0,1,"E,H,P",1-Jan,,,NA,9.75,2.03,17.42,,zone.2,4
2.5,2018-11-28,21:26:00,GW,26.6,69,C,440.44,0,0,0,"E,H,P",,,,NA,11.17,2,17.57,,zone.2,5
2.5,2018-12-01,13:30:00,JH,26.8,71,"A,C",445.42,0,0,0,"E,H,P",,,,4.58,14.65,2.1,21.11,,zone.2,6
2.5,2018-12-06,14:20:00,JH,26.8,65,A,438.87,0,0,0,"E,H,(P?)",,,,NA,7.87,2.05,19.54,Divider stuck to brood clump.,zone.2,7
2.5,2018-12-09,14:35:00,GW,27,70,C,442.23,2,2,1,"E,H,P",1-Jan,2-Feb,Yes,NA,11.42,2.01,17,,zone.2,8
2.5,2018-12-12,20:00:00,GW,25.7,69,?,444,0,0,0,"E,H,P",,,,3.1,8.28,2.01,17.05,,zone.2,9
2.5,2018-12-15,20:37:00,GW,25.8,65,"A,C",443.2,1,1,0,"E,H,P",,,,NA,8.83,1.96,17.42,,zone.2,10
2.5,2018-12-18,16:52:00,GW,25.2,62,A,444.53,0,0,0,"E,H,P",,,,NA,10.18,1.96,17.16,,zone.2,11
2.5,2018-12-21,14:36:00,GW,25.1,64,C,446.03,0,0,1,"E,H,P",1-Jan,,,4.55,10.13,1.98,17.03,,zone.2,12
2.5,2018-12-26,10:30:00,JH,26.2,69,"A,C",441.74,2,2,1,"E,H,P",1-Jan,,,NA,7.69,2.01,18.9,,zone.2,13
2.5,2018-12-30,18:53:00,GW,26.7,67,C,443.11,7,7,1,"E,P",1-Jan,,,NA,7.93,2.03,17.66,1 drone was dead.,zone.2,14
2.5,2019-01-03,16:06:00,GW,25,67,C,443.9,2,2,1,"E,H,P",,2-Feb,Yes,3.84,11.42,1.96,17.41,1 drone was dead.,zone.2,15
2.5,2019-01-06,15:58:00,GW,25.3,61,C,441.45,0,0,1,"E,H,P",1-Jan,,,NA,13.77,1.97,17.89,,zone.2,16
2.5,2019-01-09,13:30:00,GW,24.9,62,"A,C",443.93,1,1,2,"E,H,P",2-Feb,1-Jan,Yes,NA,13.16,2.01,17.44,,zone.2,17
2.6,2018-11-13,21:02:00,GW,NA,NA,,429.51,0,0,0,,,,,NA,18.11,2.01,17.94,,zone.2,1
2.6,2018-11-16,17:49:00,GW,NA,NA,,431.46,0,0,1,,1-Jan,,,NA,12.55,1.99,19.47,,zone.2,2
2.6,2018-11-20,20:11:00,GW,NA,NA,,432.79,0,0,3,,3-Mar,,,3.81,13.14,2,17.27,,zone.2,3
2.6,2018-11-25,15:24:00,GW,NA,NA,,431.18,0,0,0,,,,,NA,8.6,2,17.3,,zone.2,4
2.6,2018-11-28,21:26:00,GW,NA,NA,,433.23,0,0,0,,,,,NA,10.71,1.97,17.11,,zone.2,5
2.6,2018-12-01,13:30:00,JH,NA,NA,,434.97,1,1,1,,1-Jan,1-Jan,,4.94,12.1,2.05,18.97,,zone.2,6
2.6,2018-12-06,14:20:00,JH,NA,NA,,431.39,1,1,0,,,1-Jan,,NA,8.6,1.96,19.04,,zone.2,7
2.6,2018-12-09,14:35:00,GW,NA,NA,,433.53,1,1,1,,1-Jan,1-Jan,,NA,13.47,1.95,17.19,,zone.2,8
2.6,2018-12-12,20:00:00,GW,NA,NA,,435.14,0,0,1,,1-Jan,,,3.8,11.96,2.02,17.36,,zone.2,9
2.6,2018-12-15,20:37:00,GW,NA,NA,,432.99,0,0,2,,2-Feb,,,NA,12.74,1.96,17.48,,zone.2,10
2.6,2018-12-18,16:52:00,GW,NA,NA,,434.98,2,2,2,,2-Feb,2-Feb,,NA,13.08,2,17.35,,zone.2,11
2.6,2018-12-21,14:36:00,GW,NA,NA,,437.13,0,0,0,,,,,5.4,11.03,1.99,17.57,,zone.2,12
2.6,2018-12-26,10:30:00,JH,NA,NA,,433.27,1,1,0,,,0/1,,NA,8.25,2.06,18.24,,zone.2,13
2.6,2018-12-30,18:53:00,GW,NA,NA,,435.8,3,2,0,,,3-Mar,,NA,8.1,2,18.1,,zone.2,14
2.6,2019-01-03,16:06:00,GW,NA,NA,,438.01,0,0,0,,,,,3.03,10.15,1.96,17.49,,zone.2,15
2.6,2019-01-06,15:58:00,GW,NA,NA,,436.2,0,0,0,,,,,NA,12.42,1.99,17.86,,zone.2,16
2.6,2019-01-09,13:30:00,GW,NA,NA,,437.88,5,5,0,,,5-May,,NA,12.04,1.99,17.09,,zone.2,17
2.7,2018-11-13,21:02:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,1
2.7,2018-11-16,17:49:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,2
2.7,2018-11-20,20:11:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,3
2.7,2018-11-25,15:24:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,4
2.7,2018-11-28,21:26:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,5
2.7,2018-12-01,13:30:00,JH,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,6
2.7,2018-12-06,14:20:00,JH,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,7
2.7,2018-12-09,14:35:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,8
2.7,2018-12-12,20:00:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,9
2.7,2018-12-15,20:37:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,10
2.7,2018-12-18,16:52:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,11
2.7,2018-12-21,14:36:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,12
2.7,2018-12-26,10:30:00,JH,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,13
2.7,2018-12-30,18:53:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,14
2.7,2019-01-03,16:06:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,15
2.7,2019-01-06,15:58:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,16
2.7,2019-01-09,13:30:00,GW,NA,NA,,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,zone.2,17
3.1,2018-11-13,21:02:00,GW,NA,NA,,428.21,0,0,0,,,,,NA,6.4,0.99,14.2,,zone.3,1
3.1,2018-11-16,17:49:00,GW,NA,NA,,429.28,0,0,0,,,,,NA,8.2,1.01,15.16,,zone.3,2
3.1,2018-11-20,20:11:00,GW,NA,NA,,429.68,0,0,2,,2-Feb,,,2.87,9.42,0.98,13.98,,zone.3,3
3.1,2018-11-25,15:24:00,GW,NA,NA,,427,0,0,2,,2-Feb,,,NA,8.37,3.91,26.14,,zone.3,4
3.1,2018-11-28,21:26:00,GW,NA,NA,,431.14,0,0,1,,1-Jan,,,NA,20.38,3.89,25.41,,zone.3,5
3.1,2018-12-01,13:30:00,JH,NA,NA,,434.81,0,0,0,,,,,7.96,17.1,3.86,24.82,,zone.3,6
3.1,2018-12-06,14:20:00,JH,NA,NA,,429.99,2,2,1,,1-Jan,2-Feb,,NA,19.18,1.05,14.64,,zone.3,7
3.1,2018-12-09,14:35:00,GW,NA,NA,,431.42,0,0,1,,1-Jan,,,NA,9.15,1.01,13.74,,zone.3,8
3.1,2018-12-12,20:00:00,GW,NA,NA,,432.12,0,0,1,,1-Jan,,,4.4,8.45,0.97,13.64,,zone.3,9
3.1,2018-12-15,20:37:00,GW,NA,NA,,428.52,1,1,1,,1-Jan,1-Jan,,NA,7.94,1.01,13.77,,zone.3,10
3.1,2018-12-18,16:52:00,GW,NA,NA,,429.25,0,0,0,,,,,NA,7.89,3.93,25.1,,zone.3,11
3.1,2018-12-21,14:36:00,GW,NA,NA,,434.8,0,0,0,,,,,4.88,6.04,3.88,26.27,,zone.3,12
3.1,2018-12-26,10:30:00,JH,NA,NA,,434.25,2,2,0,,,,,NA,15.2,3.83,26.6,,zone.3,13
3.1,2018-12-30,18:53:00,GW,NA,NA,,437.11,6,4,2,,2-Feb,6-May,,NA,18.6,1.04,13.87,,zone.3,14
3.1,2019-01-03,16:06:00,GW,NA,NA,,436.68,2,2,1,,1-Jan,2-Feb,,6.81,7.99,1.03,13.96,,zone.3,15
3.1,2019-01-06,15:58:00,GW,NA,NA,,431,0,0,2,,2-Feb,,,NA,8.53,1.04,14.04,,zone.3,16
3.1,2019-01-09,13:30:00,GW,NA,NA,,431.86,0,0,1,,1-Jan,,,NA,7.56,0.98,15.19,,zone.3,17
3.2,2018-11-13,21:02:00,GW,NA,NA,,434.87,0,0,3,,3-Mar,,,NA,21.09,1.03,13.98,,zone.3,1
3.2,2018-11-16,17:49:00,GW,NA,NA,,435.95,0,0,0,,,,,NA,0.85,1.05,17.07,,zone.3,2
3.2,2018-11-20,20:11:00,GW,NA,NA,,437.23,0,0,1,,1-Jan,,,2.94,0.49,0.97,14.03,,zone.3,3
3.2,2018-11-25,15:24:00,GW,NA,NA,,434.84,0,0,2,,2-Feb,,,NA,0.47,3.93,25.63,,zone.3,4
3.2,2018-11-28,21:26:00,GW,NA,NA,,439.27,0,0,1,,1-Jan,,,NA,19.98,3.95,25.71,,zone.3,5
3.2,2018-12-01,13:30:00,JH,NA,NA,,442.98,0,0,2,,2-Feb,,,8.58,18.97,3.88,24.36,,zone.3,6
3.2,2018-12-06,14:20:00,JH,NA,NA,,438.43,2,2,0,,,2-Feb,,NA,17.67,1.04,14.74,,zone.3,7
3.2,2018-12-09,14:35:00,GW,NA,NA,,439.33,0,0,0,,,,,NA,9.11,1.01,13.4,,zone.3,8
3.2,2018-12-12,20:00:00,GW,NA,NA,,440.42,0,0,1,,1-Jan,,,4.37,8.25,1,13.47,,zone.3,9
3.2,2018-12-15,20:37:00,GW,NA,NA,,437,0,0,2,,2-Feb,,,NA,8.74,1.02,13.68,,zone.3,10
3.2,2018-12-18,16:52:00,GW,NA,NA,,437.99,0,0,1,,1-Jan,,,NA,8.88,3.9,25.59,,zone.3,11
3.2,2018-12-21,14:36:00,GW,NA,NA,,442.17,0,0,0,,,,,5.11,18.95,3.89,26.26,,zone.3,12
3.2,2018-12-26,10:30:00,JH,NA,NA,,441.35,1,1,0,,,,,NA,15.51,3.98,25.92,,zone.3,13
3.2,2018-12-30,18:53:00,GW,NA,NA,,445.69,5,4,0,,,5-May,,NA,15.44,1.01,14.06,,zone.3,14
3.2,2019-01-03,16:06:00,GW,NA,NA,,444.46,1,1,0,,,1-Jan,,3.52,7.95,0.96,13.77,,zone.3,15
3.2,2019-01-06,15:58:00,GW,NA,NA,,442.11,0,0,0,,,,,NA,8.42,0.95,13.87,,zone.3,16
3.2,2019-01-09,13:30:00,GW,NA,NA,,443.53,0,0,0,,,,,NA,8.21,0.99,15.41,,zone.3,17
3.3,2018-11-13,21:02:00,GW,NA,NA,,424.16,0,0,3,,3-Mar,,,NA,20.99,1.02,14,,zone.3,1
3.3,2018-11-16,17:49:00,GW,NA,NA,,425.63,0,0,0,,,,,NA,8.96,1.01,15.25,,zone.3,2
3.3,2018-11-20,20:11:00,GW,NA,NA,,426.07,0,0,0,,,,,3.11,8.61,0.98,13.66,,zone.3,3
3.3,2018-11-25,15:24:00,GW,NA,NA,,423.76,0,0,1,,1-Jan,,,NA,7.77,3.88,26.51,,zone.3,4
3.3,2018-11-28,21:26:00,GW,NA,NA,,428.2,0,0,1,,1-Jan,,,NA,20.9,3.92,24.25,,zone.3,5
3.3,2018-12-01,13:30:00,JH,NA,NA,,432.35,0,0,1,,1-Jan,,,8.52,15.89,3.9,24.22,,zone.3,6
3.3,2018-12-06,14:20:00,JH,NA,NA,,428.15,0,0,0,,,,,NA,16.88,0.99,14.66,,zone.3,7
3.3,2018-12-09,14:35:00,GW,NA,NA,,428.69,0,0,0,,,,,NA,8.34,1,13.51,,zone.3,8
3.3,2018-12-12,20:00:00,GW,NA,NA,,429.27,0,0,0,,,,,5.31,7.69,1.03,13.38,,zone.3,9
3.3,2018-12-15,20:37:00,GW,NA,NA,,425.06,0,0,0,,,,,NA,7.75,0.97,14.05,,zone.3,10
3.3,2018-12-18,16:52:00,GW,NA,NA,,426.4,0,0,0,,,,,NA,8.22,3.93,25.85,,zone.3,11
3.3,2018-12-21,14:36:00,GW,NA,NA,,430.62,1,1,0,,,1-Jan,,5.52,18.72,3.87,25.82,,zone.3,12
3.3,2018-12-26,10:30:00,JH,NA,NA,,428.38,0,0,1,,1-Jan,,,NA,18.38,3.86,25.05,,zone.3,13
3.3,2018-12-30,18:53:00,GW,NA,NA,,431.7,0,0,1,,1-Jan,,,NA,19.74,0.99,13.9,,zone.3,14
3.3,2019-01-03,16:06:00,GW,NA,NA,,432.18,2,2,1,,1-Jan,2-Feb,,7.95,8.67,1.04,13.86,,zone.3,15
3.3,2019-01-06,15:58:00,GW,NA,NA,,425.34,0,0,2,,2-Feb,,,NA,9.55,0.99,14.2,,zone.3,16
3.3,2019-01-09,13:30:00,GW,NA,NA,,425.95,0,0,2,,2-Feb,,,NA,11.15,0.97,14.43,,zone.3,17
3.4,2018-11-13,21:02:00,GW,NA,NA,,436.4,0,0,0,,,,,NA,16.28,1.05,13.71,,zone.3,1
3.4,2018-11-16,17:49:00,GW,NA,NA,,436.96,0,0,0,,,,,NA,7.73,1.03,14.12,,zone.3,2
3.4,2018-11-20,20:11:00,GW,NA,NA,,436.37,0,0,0,,,,,0.65,6.44,1,14.07,,zone.3,3
3.4,2018-11-25,15:24:00,GW,NA,NA,,436.04,0,0,1,,1-Jan,,,NA,7.1,3.85,26.85,,zone.3,4
3.4,2018-11-28,21:26:00,GW,NA,NA,,442.44,6,6,1,,1-Jan,6-Jun,,NA,16.02,3.92,25.66,,zone.3,5
3.4,2018-12-01,13:30:00,JH,NA,NA,,447.73,1,1,0,,,,,5.71,9.76,0.94,23.95,,zone.3,6
3.4,2018-12-06,14:20:00,JH,NA,NA,,444.8,0,0,0,,,,,NA,14.26,1.05,14,,zone.3,7
3.4,2018-12-09,14:35:00,GW,NA,NA,,443.58,0,0,0,,,,,NA,8.21,1.03,13.61,,zone.3,8
3.4,2018-12-12,20:00:00,GW,NA,NA,,443.4,0,0,0,,,,,2.01,7.55,0.96,13.92,,zone.3,9
3.4,2018-12-15,20:37:00,GW,NA,NA,,441.71,0,0,0,,,,,NA,6.95,1.03,13.69,,zone.3,10
3.4,2018-12-18,16:52:00,GW,NA,NA,,442.19,7,7,1,,1-Jan,7-Jul,,NA,7.2,3.89,26.32,,zone.3,11
3.4,2018-12-21,14:36:00,GW,NA,NA,,446.34,9,9,0,,,9-Sep,,3.93,15.65,3.86,25.87,,zone.3,12
3.4,2018-12-26,10:30:00,JH,NA,NA,,444.15,1,1,1,,1-Jan,,,NA,14.47,3.95,25.94,,zone.3,13
3.4,2018-12-30,18:53:00,GW,NA,NA,,447.33,2,1,1,,1-Jan,2-Feb,,NA,16.93,1.01,14.32,,zone.3,14
3.4,2019-01-03,16:06:00,GW,NA,NA,,446.29,1,1,1,,1-Jan,1-Jan,,7.4,8.24,1.01,13.75,,zone.3,15
3.4,2019-01-06,15:58:00,GW,NA,NA,,439.78,0,0,2,,2-Feb,,,NA,8.23,0.97,14.2,,zone.3,16
3.4,2019-01-09,13:30:00,GW,NA,NA,,440.43,0,0,0,,,,,NA,8.18,1.02,14.52,,zone.3,17
3.5,2018-11-13,21:02:00,GW,NA,NA,,425.52,0,0,1,,1-Jan,,,NA,20.1,1.05,13.6,,zone.3,1
3.5,2018-11-16,17:49:00,GW,NA,NA,,426.78,0,0,0,,,,,NA,9.31,0.98,16.07,,zone.3,2
3.5,2018-11-20,20:11:00,GW,NA,NA,,427.45,0,0,3,,3-Mar,,,3,11.82,1.03,13.81,,zone.3,3
3.5,2018-11-25,15:24:00,GW,NA,NA,,425.21,0,0,0,,,,,NA,8.05,3.94,25.54,,zone.3,4
3.5,2018-11-28,21:26:00,GW,NA,NA,,429.79,0,0,0,,,,,NA,19.94,3.87,25.11,,zone.3,5
3.5,2018-12-01,13:30:00,JH,NA,NA,,433.17,0,0,0,,,,,8.56,18.82,3.96,24.3,,zone.3,6
3.5,2018-12-06,14:20:00,JH,NA,NA,,428.3,0,0,0,,,,,NA,20.67,1.06,14.65,,zone.3,7
3.5,2018-12-09,14:35:00,GW,NA,NA,,429.59,2,2,2,,2-Feb,2-Feb,,NA,11.51,1.01,13.68,,zone.3,8
3.5,2018-12-12,20:00:00,GW,NA,NA,,430.66,0,0,0,,,,,5.97,8.56,1,14.17,,zone.3,9
3.5,2018-12-15,20:37:00,GW,NA,NA,,425.75,0,0,0,,,,,NA,8.92,1.04,13.68,,zone.3,10
3.5,2018-12-18,16:52:00,GW,NA,NA,,426.8,0,0,1,,1-Jan,,,NA,8.96,3.92,26.48,,zone.3,11
3.5,2018-12-21,14:36:00,GW,NA,NA,,430.56,0,0,0,,,,,5.2,20.94,3.89,25.58,,zone.3,12
3.5,2018-12-26,10:30:00,JH,NA,NA,,429.23,0,0,0,,,,,NA,18.58,3.9,26.58,,zone.3,13
3.5,2018-12-30,18:53:00,GW,NA,NA,,432.6,0,0,1,,1-Jan,,,NA,21.55,1.05,14.01,,zone.3,14
3.5,2019-01-03,16:06:00,GW,NA,NA,,433.35,1,1,2,,2-Feb,,,7.96,13.79,1.03,13.93,,zone.3,15
3.5,2019-01-06,15:58:00,GW,NA,NA,,426.67,0,0,1,,1-Jan,1-Jan,,NA,8.2,1.05,14.42,,zone.3,16
3.5,2019-01-09,13:30:00,GW,NA,NA,,427.43,0,0,0,,,,,NA,8.46,1.01,14.08,,zone.3,17
3.6,2018-11-13,21:02:00,GW,NA,NA,,431.37,0,0,2,,2-Feb,,,NA,18.58,1,13.85,,zone.3,1
3.6,2018-11-16,17:49:00,GW,NA,NA,,432.64,0,0,0,,,,,NA,8.05,1.02,15.88,,zone.3,2
3.6,2018-11-20,20:11:00,GW,NA,NA,,433.82,0,0,1,,1-Jan,,,2.15,8.78,0.96,14.01,,zone.3,3
3.6,2018-11-25,15:24:00,GW,NA,NA,,431.63,0,0,2,,2-Feb,,,NA,8.04,3.9,25.75,,zone.3,4
3.6,2018-11-28,21:26:00,GW,NA,NA,,436.27,0,0,1,,1-Jan,,,NA,18.8,3.92,25.42,,zone.3,5
3.6,2018-12-01,13:30:00,JH,NA,NA,,439.94,0,0,2,,2-Feb,,,8.07,17.57,3.86,24.12,,zone.3,6
3.6,2018-12-06,14:20:00,JH,NA,NA,,436.45,3,3,0,,,3-Mar,,NA,14.86,1.05,14.27,,zone.3,7
3.6,2018-12-09,14:35:00,GW,NA,NA,,436.65,1,1,0,,,1-Jan,,NA,8.63,0.96,13.34,,zone.3,8
3.6,2018-12-12,20:00:00,GW,NA,NA,,437.1,0,0,1,,1-Jan,,,5.02,8.08,1.02,14,,zone.3,9
3.6,2018-12-15,20:37:00,GW,NA,NA,,433.37,0,0,0,,,,,NA,7.97,1.01,13.97,,zone.3,10
3.6,2018-12-18,16:52:00,GW,NA,NA,,434.51,0,0,0,,,,,NA,8.13,3.93,25.81,,zone.3,11
3.6,2018-12-21,14:36:00,GW,NA,NA,,438.85,0,0,0,,,,,5.33,18.9,3.9,26.2,,zone.3,12
3.6,2018-12-26,10:30:00,JH,NA,NA,,436.51,2,2,0,,,,,NA,19,3.96,26,,zone.3,13
3.6,2018-12-30,18:53:00,GW,NA,NA,,440.24,5,3,3,,3-Mar,5-May,,NA,19.89,0.97,14.29,,zone.3,14
3.6,2019-01-03,16:06:00,GW,NA,NA,,439.57,0,0,0,,,,,6.95,7.96,1.04,14.01,,zone.3,15
3.6,2019-01-06,15:58:00,GW,NA,NA,,433.75,0,0,0,,,,,NA,7.89,0.96,13.87,,zone.3,16
3.6,2019-01-09,13:30:00,GW,NA,NA,,434.65,0,0,0,,,,,NA,7.35,1.03,14.52,,zone.3,17
3.7,2018-11-13,21:02:00,GW,NA,NA,,431.01,0,0,0,,,,,NA,9.06,1.04,14.6,,zone.3,1
3.7,2018-11-16,17:49:00,GW,NA,NA,,432.05,0,0,0,,,,,NA,9.21,1.04,14.97,,zone.3,2
3.7,2018-11-20,20:11:00,GW,NA,NA,,432.36,0,0,0,,,,,2.46,8.23,1.01,14.13,,zone.3,3
3.7,2018-11-25,15:24:00,GW,NA,NA,,430.67,0,0,1,,1-Jan,,,NA,8.05,3.89,25.79,,zone.3,4
3.7,2018-11-28,21:26:00,GW,NA,NA,,435.31,0,0,1,,1-Jan,,,NA,18.83,3.88,25.43,,zone.3,5
3.7,2018-12-01,13:30:00,JH,NA,NA,,439.22,0,0,0,,,,,7.77,13.52,3.97,24.7,,zone.3,6
3.7,2018-12-06,14:20:00,JH,NA,NA,,436.08,0,0,0,,,,,NA,14.15,1,13.66,,zone.3,7
3.7,2018-12-09,14:35:00,GW,NA,NA,,435.57,2,2,1,,1-Jan,2-Feb,,NA,8.31,1.03,13.42,Drone mating with dominant worker,zone.3,8
3.7,2018-12-12,20:00:00,GW,NA,NA,,436.32,1,1,1,,1-Jan,,,4.68,7.91,0.97,13.95,,zone.3,9
3.7,2018-12-15,20:37:00,GW,NA,NA,,431.81,0,0,2,,2-Feb,,,NA,8.38,0.98,13.75,,zone.3,10
3.7,2018-12-18,16:52:00,GW,NA,NA,,432.81,1,1,1,,1-Jan,1-Jan,,NA,7.63,3.9,25.75,,zone.3,11
3.7,2018-12-21,14:36:00,GW,NA,NA,,438.21,0,0,0,,,,,5.3,8.03,3.92,26.48,,zone.3,12
3.7,2018-12-26,10:30:00,JH,NA,NA,,435.9,0,0,3,,3-Mar,,,NA,19.24,3.89,25.63,,zone.3,13
3.7,2018-12-30,18:53:00,GW,NA,NA,,438.77,1,1,1,,1-Jan,1-Jan,,NA,19.9,1.03,14.07,,zone.3,14
3.7,2019-01-03,16:06:00,GW,NA,NA,,438.94,0,0,0,,,,,7.34,NA,1.01,14.1,,zone.3,15
3.7,2019-01-06,15:58:00,GW,NA,NA,,433.35,0,0,2,,2-Feb,,,NA,9.32,0.98,13.93,,zone.3,16
3.7,2019-01-09,13:30:00,GW,NA,NA,,433.41,0,0,1,,1-Jan,,,NA,9.84,1,14.41,,zone.3,17
4.1,2018-11-13,21:02:00,GW,NA,NA,,429.23,0,0,1,,1-Jan,,,NA,20.81,0.78,11.54,,zone.4,1
4.1,2018-11-16,17:49:00,GW,NA,NA,,429.66,0,0,1,,1-Jan,,,NA,8.29,0.76,12.93,,zone.4,2
4.1,2018-11-20,20:11:00,GW,NA,NA,,430.33,0,0,1,,1-Jan,,,2.25,7.58,0.71,11.51,,zone.4,3
4.1,2018-11-25,15:24:00,GW,NA,NA,,428.45,0,0,0,,,,,NA,6.47,1.61,20.37,,zone.4,4
4.1,2018-11-28,21:26:00,GW,NA,NA,,430.3,0,0,3,,3-Mar,,,NA,15.45,1.58,19.07,,zone.4,5
4.1,2018-12-01,13:30:00,JH,NA,NA,,432.1,0,0,0,,,,,2.65,9.07,1.64,18.92,,zone.4,6
4.1,2018-12-06,14:20:00,JH,NA,NA,,430.96,1,1,0,,,1-Jan,,NA,NA,0.72,11.69,,zone.4,7
4.1,2018-12-09,14:35:00,GW,NA,NA,,430.99,4,4,0,,,4-Apr,,NA,6.97,0.73,11.26,,zone.4,8
4.1,2018-12-12,20:00:00,GW,NA,NA,,431.09,1,1,1,,1-Jan,1-Jan,,2.65,7.28,0.76,11.02,,zone.4,9
4.1,2018-12-15,20:37:00,GW,NA,NA,,429.1,2,2,0,,,2-Feb,,NA,7.75,0.71,11.36,,zone.4,10
4.1,2018-12-18,16:52:00,GW,NA,NA,,426.65,2,2,1,,1-Jan,2-Feb,,NA,6.64,1.59,20.04,,zone.4,11
4.1,2018-12-21,14:36:00,GW,NA,NA,,431.22,0,0,1,,1-Jan,,,2.71,15.53,1.57,20.85,,zone.4,12
4.1,2018-12-26,10:30:00,JH,NA,NA,,430.51,0,0,2,,2-Feb,,,NA,14.08,1.57,20.08,,zone.4,13
4.1,2018-12-30,18:53:00,GW,NA,NA,,432.58,0,0,0,,,,,NA,12.69,0.72,11.58,,zone.4,14
4.1,2019-01-03,16:06:00,GW,NA,NA,,431.89,0,0,0,,,,,2.17,7.73,0.73,11.65,,zone.4,15
4.1,2019-01-06,15:58:00,GW,NA,NA,,430.21,0,0,1,,1-Jan,,,NA,8.35,0.73,11.11,,zone.4,16
4.1,2019-01-09,13:30:00,GW,NA,NA,,430.82,0,0,1,,1-Jan,,,NA,8.34,0.78,11.99,,zone.4,17
4.2,2018-11-13,21:02:00,GW,NA,NA,,420.5,0,0,0,,,,,NA,16.7,0.71,11.58,,zone.4,1
4.2,2018-11-16,17:49:00,GW,NA,NA,,420.75,0,0,0,,,,,NA,8.1,0.77,12.14,,zone.4,2
4.2,2018-11-20,20:11:00,GW,NA,NA,,421.01,0,0,0,,,,,1.7,7.69,0.76,11.37,,zone.4,3
4.2,2018-11-25,15:24:00,GW,NA,NA,,419.61,0,0,1,,1-Jan,,,NA,7.3,1.62,19.68,,zone.4,4
4.2,2018-11-28,21:26:00,GW,NA,NA,,421.98,0,0,1,,1-Jan,,,NA,12.85,1.62,19.35,,zone.4,5
4.2,2018-12-01,13:30:00,JH,NA,NA,,423.39,1,1,0,,,1-Jan,,3.16,10.14,1.61,18.84,,zone.4,6
4.2,2018-12-06,14:20:00,JH,NA,NA,,421.79,0,0,0,,,,,NA,11.8,0.75,12.56,,zone.4,7
4.2,2018-12-09,14:35:00,GW,NA,NA,,422.17,1,1,0,,,1-Jan,,NA,8.13,0.71,11.01,,zone.4,8
4.2,2018-12-12,20:00:00,GW,NA,NA,,422.37,2,2,0,,,2-Feb,,2.3,6.84,0.76,11.31,,zone.4,9
4.2,2018-12-15,20:37:00,GW,NA,NA,,420.34,0,0,0,,,,,NA,7.21,0.8,11.05,,zone.4,10
4.2,2018-12-18,16:52:00,GW,NA,NA,,421.4,0,0,0,,,,,NA,6.5,1.62,19.9,,zone.4,11
4.2,2018-12-21,14:36:00,GW,NA,NA,,423.16,0,0,0,,,,,2.78,15.05,1.59,20.06,,zone.4,12
4.2,2018-12-26,10:30:00,JH,NA,NA,,421.52,0,0,1,,1-Jan,,,NA,15.21,1.55,20.28,,zone.4,13
4.2,2018-12-30,18:53:00,GW,NA,NA,,423.3,1,1,1,,1-Jan,1-Jan,,NA,15.13,0.75,11.6,,zone.4,14
4.2,2019-01-03,16:06:00,GW,NA,NA,,423.41,0,0,0,,,,,2.97,7.71,0.78,11.6,,zone.4,15
4.2,2019-01-06,15:58:00,GW,NA,NA,,421.04,0,0,0,,,,,NA,8.36,0.73,11.37,,zone.4,16
4.2,2019-01-09,13:30:00,GW,NA,NA,,421.25,0,0,1,,1-Jan,,,NA,8.29,0.74,11.67,,zone.4,17
