date,id,n_drones,total_mass,avg_drone_mass,treatment
04/13/18,2.3,7,1.01872,0.1455314285714286,zone.2
04/09/18,3.4,2,0.30078,0.15039,zone.3
04/09/18,1.2,2,0.21917,0.109585,zone.1
04/09/18,2.3,1,0.11013,0.11013,zone.2
04/16/18,1.7,4,0.28978,0.072445,zone.1
04/09/18,1.5,3,0.29178,0.09726,zone.1
04/16/18,3.6,3,0.3672,0.12240000000000001,zone.3
04/09/18,3.2,5,0.42746,0.085492,zone.3
04/13/18,3.4,2,0.24187,0.120935,zone.3
04/13/18,1.7,5,0.33061,0.066122,zone.1
04/05/18,2.4,4,0.54253,0.1356325,zone.2
04/09/18,2.7,4,0.41018,0.102545,zone.2
04/09/18,3.1,5,0.7981,0.15962,zone.3
04/05/18,3.4,3,0.37786,0.12595333333333333,zone.3
04/09/18,2.4,4,0.58676,0.14669,zone.2
04/09/18,3.6,5,0.6117,0.12234,zone.3
04/09/18,2.3,5,0.58122,0.11624399999999999,zone.2
04/16/18,1.3,2,0.1364,0.0682,zone.1
04/16/18,4.7,1,0.09244,0.09244,zone.4
04/20/18,2.2,1,0.08888,0.08888,zone.2
04/16/18,4.2,1,0.14063,0.14063,zone.4
04/05/18,3.2,3,0.30313,0.10104333333333333,zone.3
04/20/18,2.5,2,0.2397,0.11985,zone.2
04/20/18,4.6,4,0.40194,0.100485,zone.4
04/13/18,1.2,5,0.52053,0.104106,zone.1
04/05/18,1.5,5,0.414,0.0828,zone.1
04/20/18,3.6,1,0.9561,0.9561,zone.3
04/13/18,3.2,1,0.11302,0.11302,zone.3
04/20/18,2.3,2,0.33119,0.165595,zone.2
04/20/18,1.3,1,0.11471,0.11471,zone.1
04/20/18,2.6,3,0.45049,0.15016333333333334,zone.2
04/13/18,3.7,1,0.14352,0.14352,zone.3
04/20/18,3.3,3,0.42708,0.14236000000000001,zone.3
04/20/18,2.6,3,0.42874,0.14291333333333334,zone.2
04/16/18,3.2,5,0.53461,0.106922,zone.3
04/20/18,4.4,4,0.46407,0.1160175,zone.4
04/05/18,3.6,5,0.86567,0.173134,zone.3
04/05/18,4.4,2,0.34199,0.170995,zone.4
04/05/18,4.2,4,0.5809,0.145225,zone.4
04/20/18,2.7,3,0.28789,0.09596333333333333,zone.2
04/20/18,1.7,2,0.19234,0.09617,zone.1
04/16/18,2.7,5,0.58022,0.116044,zone.2
04/20/18,2.1,3,0.34916,0.11638666666666668,zone.2
04/05/18,2.6,2,0.29374,0.14687,zone.2
04/05/18,2.2,3,0.42977,0.14325666666666667,zone.2
04/20/18,3.1,5,0.62951,0.12590200000000001,zone.3
04/05/18,2.1,2,0.29229,0.146145,zone.2
04/09/18,4.6,4,0.38131,0.0953275,zone.4
04/05/18,1.3,4,0.60769,0.1519225,zone.1
04/01/18,4.1,3,0.38295,0.12765,zone.4
04/09/18,1.7,2,0.14334,0.07167,zone.1
04/09/18,2.2,1,0.1732,0.1732,zone.2
04/09/18,2.2,5,0.74902,0.149804,zone.2
04/09/18,4.6,2,0.30112,0.15056,zone.4
04/09/18,2.6,1,0.1482,0.1482,zone.2
03/26/18,3.2,2,0.21277,0.106385,zone.3
04/09/18,2.1,4,0.54263,0.1356575,zone.2
05/02/18,3.3,4,0.44628,0.11157,zone.3
05/02/18,2.2,4,0.65302,0.163255,zone.2
04/24/18,3.4,1,0.12115,0.12115,zone.3
03/26/18,2.6,5,0.57054,0.11410800000000001,zone.2
04/24/18,2.5,3,0.33093,0.11031,zone.2
04/24/18,4.6,3,0.22247,0.07415666666666666,zone.4
04/24/18,3.5,5,0.65718,0.131436,zone.3
05/02/18,1.6,4,0.51872,0.12968,zone.1
05/02/18,4.6,2,0.20327,0.101635,zone.4
05/02/18,2.7,2,0.26458,0.13229,zone.2
05/02/18,2.5,2,0.28348,0.14174,zone.2
05/02/18,4.1,2,0.22425,0.112125,zone.4
05/02/18,3.7,4,0.49295,0.1232375,zone.3
05/02/18,3.5,4,0.43049,0.1076225,zone.3
04/24/18,4.4,2,0.27557,0.137785,zone.4
04/24/18,2.1,2,0.17962,0.08981,zone.2
04/24/18,1.6,4,0.3524,0.0881,zone.1
05/02/18,3.5,5,0.73766,0.147532,zone.3
04/24/18,2.6,5,0.62927,0.125854,zone.2
04/24/18,2.7,3,0.20517,0.06838999999999999,zone.2
04/24/18,2.2,2,0.24186,0.12093,zone.2
05/02/18,3.2,4,0.34293,0.0857325,zone.3
05/02/18,2.6,1,0.12477,0.12477,zone.2
03/29/18,1.7,1,0.13116,0.13116,zone.1
03/26/18,3.5,6,0.66113,0.11018833333333333,zone.3
05/02/18,2.2,3,0.43278,0.14426,zone.2
04/24/18,3.7,1,0.11434,0.11434,zone.3
03/12/18,1.7,1,0.08068,0.08068,zone.1
04/24/18,4.2,5,0.57387,0.114774,zone.4
04/01/18,4.1,5,0.54924,0.10984799999999999,zone.4
03/29/18,2.5,4,0.47698,0.119245,zone.2
03/26/18,2.3,1,0.0651,0.0651,zone.2
03/26/18,3.7,3,0.45669,0.15223,zone.3
03/26/18,3.1,1,0.15613,0.15613,zone.3
04/01/18,2.3,2,0.28424,0.14212,zone.2
03/29/18,3.3,2,0.27975,0.139875,zone.3
03/15/18,1.1,1,0.04415,0.04415,zone.1
03/29/18,1.6,1,0.11586,0.11586,zone.1
04/01/18,2.1,5,0.74385,0.14877,zone.2
04/01/18,4.6,5,0.70122,0.14024399999999998,zone.4
04/01/18,4.4,5,0.68756,0.137512,zone.4
03/12/18,2.3,1,0.04083,0.04083,zone.2
04/01/18,3.3,2,0.3222,0.1611,zone.3
05/02/18,2.6,2,0.28595,0.142975,zone.2
04/24/18,3.3,3,0.47225,0.15741666666666668,zone.3
05/02/18,2.6,4,0.59274,0.148185,zone.2
