id,brood mass,mc box mass
3.3,3.0678,
1.6,2.1708,
4.7,2.9005,
4.4,2.7306,
3.1,2.9002,
1.2,1.9416,
4.3,3.1842,
1.4,0.8529,
3.7,3.8644,
4.6,1.7637,
3.5,2.1847,
4.1,2.0124,
3.4,1.5166,
2.1,3.9555,
2.4,3.6942,
4.5,1.3933,
3.2,4.1067,
2.2,2.6419,
3.6,1.5447,
1.7,2.7677,
2.7,4.9337,
1.1,1.3321,
2.3,3.9864,
1.5,2.3949,
2.6,2.7887,
4.2,0.6919,
1.3,2.5295,
2.5,2.5273,
