date,id,n.drones,drone.mass,avg.individ.mass
04/05/18,2.1,2,0.29229,0.1329
04/09/18,4.6,4,0.38131,0.1230
04/05/18,1.3,4,0.60769,0.2894
04/01/18,4.1,3,0.38295,0.0833
04/09/18,1.7,2,0.14334,0.1103
04/09/18,2.2,1,0.17320,0.0422
04/09/18,2.2,5,0.74902,0.4406
04/09/18,4.6,2,0.30112,0.1369
04/09/18,2.6,1,0.14820,0.0674
03/26/18,3.2,2,0.21277,0.0463
04/09/18,2.1,4,0.54263,0.2087
05/02/18,3.3,4,0.44628,0.1395
05/02/18,2.2,4,0.65302,0.3110
04/24/18,3.4,1,0.12115,0.0367
03/26/18,2.6,5,0.57054,0.2593
04/24/18,2.5,3,0.33093,0.0973
04/24/18,4.6,3,0.22247,0.0856
04/24/18,3.5,5,0.65718,0.2629
05/02/18,1.6,4,0.51872,0.1128
05/02/18,4.6,2,0.20327,0.0581
05/02/18,2.7,2,0.26458,0.1654
05/02/18,2.5,2,0.28348,0.0616
05/02/18,4.1,2,0.22425,0.0831
05/02/18,3.7,4,0.49295,0.1972
05/02/18,3.5,4,0.43049,0.1050
04/24/18,4.4,2,0.27557,0.0745
04/24/18,2.1,2,0.17962,0.0513
04/24/18,1.6,4,0.35240,0.0801
05/02/18,3.5,5,0.73766,0.3513
04/24/18,2.6,5,0.62927,0.3933
04/24/18,2.7,3,0.20517,0.0586
04/24/18,2.2,2,0.24186,0.0930
05/02/18,3.2,4,0.34293,0.1270
05/02/18,2.6,1,0.12477,0.0567
03/29/18,1.7,1,0.13116,0.0410
03/26/18,3.5,6,0.66113,0.2543
05/02/18,2.2,3,0.43278,0.2546
04/24/18,3.7,1,0.11434,0.0327
03/12/18,1.7,1,0.08068,0.0367
04/24/18,4.2,5,0.57387,0.1551
04/01/18,4.1,5,0.54924,0.3231
03/29/18,2.5,4,0.47698,0.1136
03/26/18,2.3,1,0.06510,0.0159
03/26/18,3.7,3,0.45669,0.1827
03/26/18,3.1,1,0.15613,0.0679
04/01/18,2.3,2,0.28424,0.0768
03/29/18,3.3,2,0.27975,0.0902
03/15/18,1.1,1,0.04415,0.0192
03/29/18,1.6,1,0.11586,0.0351
04/01/18,2.1,5,0.74385,0.6762
04/01/18,4.6,5,0.70122,0.4383
04/01/18,4.4,5,0.68756,0.3274
03/12/18,2.3,1,0.04083,0.0089
04/01/18,3.3,2,0.32220,0.0732
05/02/18,2.6,2,0.28595,0.1243
04/24/18,3.3,3,0.47225,0.1431
05/02/18,2.6,4,0.59274,0.2280
