id,treatment,total_drones
1.1,zone.1,3
1.2,zone.1,7
1.3,zone.1,6
1.4,zone.1,2
1.5,zone.1,9
1.6,zone.1,16
1.7,zone.1,11
2.1,zone.2,10
2.2,zone.2,16
2.3,zone.2,15
2.4,zone.2,10
2.5,zone.2,13
2.6,zone.2,10
2.7,zone.2,8
3.1,zone.3,14
3.2,zone.3,30
3.3,zone.3,18
3.4,zone.3,3
3.5,zone.3,4
3.6,zone.3,7
3.7,zone.3,11
4.1,zone.4,11
4.2,zone.4,0
4.3,zone.4,14
4.4,zone.4,12
4.5,zone.4,5
4.6,zone.4,10
4.7,zone.4,13
