Microcolony Code,Date,Time,Initials,Temp,Humidity,Activity Code,MC Mass,n Total Drones,n New Drones,n Worker Deaths,Brood Code,work repl,drone rm,P Mass Remain,N Mass Remain,P Mass Provid,N Mass Provid
1.3,6/27/18,1:26 PM,AF,26.7,59,AC,434.77,0,0,0,EH,,,3.44,11.11,0.993,13.8466
1.3,6/30/18,2:39 PM,AF,26.5,64,C,432.91,0,0,1,EH,,,N/A,9.12,0.985,11.7187
1.3,7/3/18,6:38 PM,AF,26.2,62,C,433.77,0,0,2,EH,2,,N/A,8.9,0.9888,14.2905
1.3,7/6/18,4:23 PM,AF,25.8,52,C,434.03,0,0,1,EH,1,,3.07,8.45,1.0294,13.6652
1.3,7/9/18,1:00 PM,AF,26.1,61,C,433.13,0,0,0,EHP,,,N/A,8.3,1.0028,14.4074
1.3,7/12/18,12:45 PM,AF,26.2,60,C,433.32,0,0,0,EHP,,,N/A,7.61,1.0401,11.9035
1.3,7/15/18,12:13 PM,AF,25.9,62,C,434.45,1,1,0,EHP,,1,2.15,7.56,1.0208,14.4891
1.3,7/18/18,11:20 AM,AF,26.3,63,C,433.4,0,0,0,EHP,,,N/A,7.61,1.0081,14.5828
1.3,7/21/18,1:31 PM,AF,26.1,63,C,435.7,0,0,0,EHP,,,N/A,9.52,1.01,13.37
1.3,7/24/18,12:46 PM,AF,25.6,60,C,434.46,0,0,0,EP,,,0.79,6.71,1.01,15.43
1.3,7/27/18,12:17 PM,AF,25.3,62,CLF,433.98,0,0,0,EP,,,N/A,6.51,1.01,13.39
1.3,7/30/18,9:40 AM,AF,25.9,62,ACF,435.1,3,3,0,EP,,3,N/A,5.69,1.03,14.17
1.3,8/2/18,11:11 AM,AF,26,64,C,434.37,0,0,1,EP,1,,1.15,6.86,1,14.28
1.3,8/5/18,8:39 AM,AF,25.8,63,CF,435.2,2,2,0,EP,,2,N/A,7.28,1.02,13.84
4.2,6/21/18,11:31 AM,AF,26.3,58,CLF,437.02,0,0,0,N,,,N/A,N/A,0.7351,11.1516
4.2,6/24/18,11:20 AM,AF,26.6,64,C,437.06,0,0,2,E(N),2,,N/A,7.25,0.7269,10.8268
4.2,6/27/18,1:23 PM,AF,26.7,61,CF,437.91,0,0,1,E(N),1,,5.27,7.1,0.724,11.7029
4.2,6/30/18,2:53 PM,AF,26.5,62,CF,433.52,0,0,0,E(N),,,N/A,9.19,1.6281,19.9211
4.2,7/3/18,4:50 PM,AF,26.2,61,C,433.16,0,0,0,E(N),,,N/A,9.16,1.6212,19.9117
4.2,7/6/18,4:49 PM,AF,25.9,53,CLF,437.38,0,0,1,E,1,,3.7,12.52,1.6282,20.0568
4.2,7/9/18,1:03 PM,AF,26.2,62,C,435.63,0,0,0,E,,,N/A,11.26,0.7635,11.4405
4.2,7/12/18,12:47 PM,AF,26.2,60,CL,435.63,0,0,0,E,,,N/A,6.74,0.7353,11.5683
4.2,7/15/18,12:21 PM,AF,25.8,61,L,436.01,0,0,0,E,,,2.32,6.55,0.7648,11.8609
4.2,7/18/18,11:22 AM,AF,26.4,63,L,434.01,0,0,1,EP,1,,N/A,7.79,0.747,10.9585
4.2,7/21/18,1:33 AM,AF,26.1,63,C,434.55,0,0,2,EP,2,,N/A,6.5,1.6,19.4
4.2,7/24/18,10:50 AM,AF,23.3,61,L,436.55,0,0,0,EP,,,2.54,7.54,1.6,20.74
4.2,7/27/18,12:20 PM,AF,25.2,63,L,435.86,0,0,1,EP,1,,N/A,8.73,1.61,19.89
4.2,7/30/18,9:50 AM,AF,26,62,CLF,436.51,0,0,0,EP,,,N/A,13.49,0.73,12.67
4.2,8/2/18,11:16 AM,AF,26.1,62,L,437.07,0,0,1,EP,,,2.74,6.27,0.75,11.62
4.2,8/5/18,8:45 AM,AF,23.9,63,L,435.96,0,0,0,EP,,,N/A,1.09,0.76,12.31
1.5,6/21/18,11:56 AM,AF,25.3,59,C,436.57,0,0,0,EHP,,,N/A,N/A,1.1133,14.1876
1.5,6/24/18,11:28 AM,AF,26.6,63,C,436.02,0,0,2,EHP,2,,N/A,7.71,1.0043,13.8688
1.5,6/27/18,2:05 PM,AF,26.7,63,ACF,436.6,0,0,1,EHP,1,,3.36,7.6,1.0411,14.3756
1.5,6/30/18,2:57 PM,AF,26.5,62,C,434.44,0,0,1,EHP,1,,N/A,7.32,1.0095,11.0786
1.5,7/3/18,4:53 PM,AF,26.2,61,C,435.11,3,3,2,EHP,2,,N/A,7.75,1.0187,14.1667
1.5,7/6/18,4:55 PM,AF,26,56,C,436.25,3,0,1,EHP,1,,2.21,7.03,1.0082,12.9238
1.5,7/9/18,1:06 PM,AF,26.2,63,CF,433.95,4,1,2,EHP,1,,N/A,7.58,1.0047,14.2324
1.5,7/13/18,12:50 PM,AF,26.2,60,CLF,435.34,4,0,0,EHP,1,4,N/A,8.27,1.0201,14.193
1.5,7/15/18,12:25 PM,AF,25.8,60,C,435.79,0,0,0,EHP,,,1.21,7.16,0.357,13.718
1.5,7/18/18,11:27 AM,AF,26.4,63,C,434.93,0,0,2,EHP,2,,N/A,7.84,0.9872,14.6217
1.5,7/21/18,1:43 PM,AF,26.1,63,L,435.37,0,0,3,EHP,3,,N/A,7.53,1.04,13.13
1.5,7/24/18,10:54 AM,AF,26,61,C,437.31,0,0,1,EHP,1,,2.04,8.54,0.99,14.77
1.5,7/27/18,12:24 PM,AF,25.3,65,CF,435.63,1,1,1,EHP,1,1,N/A,8.88,1.03,13.87
1.5,7/30/18,9:52 AM,AF,26,62,CF,436.88,2,2,0,EHP,,2,N/A,9.21,1.02,13.87
1.5,8/2/18,11:23 AM,AF,26.1,61,CL,435.93,2,2,2,EHP,2,2,1.43,8.46,1,14.44
1.5,8/5/18,8:48 AM,AF,26,62,L,435.41,0,0,2,EHP,2,,N/A,13.05,0.99,13.41
1.7,6/21/18,12:03 PM,AF,26.4,60,AC,431.73,0,0,0,EHP,,,N/A,N/A,1.0094,14.1628
1.7,6/24/18,11:36 AM,AF,26.6,62,C,632.08,0,0,0,EP,,,N/A,6.42,0.9939,13.4749
1.7,6/27/18,2:20 PM,AF,26.7,63,C,432.9,0,0,2,EHP,2,,3.01,7.1,1.0002,13.595
1.7,6/30/18,3:01 PM,AF,26.5,62,C,431.32,0,0,1,EHP,1,,N/A,8.02,1.0064,12.2451
1.7,7/3/18,5:10 PM,AF,26.2,60,AC,431.76,0,0,0,EHP,,,N/A,7.71,1.035,14.0641
1.7,7/6/18,5:04 PM,AF,26,53,C,432.53,5,5,0,EHP,,,2.22,6.52,0.9888,13.3682
1.7,7/9/18,1:15 PM,AF,26.3,64,C,430.42,5,0,0,EP,,,N/A,6.72,1.0373,14.225
1.7,7/12/18,1:03 PM,AF,26.3,39,CL,432.8,5,0,1,EP,1,5,N/A,8.88,1.0252,13.7337
1.7,7/16/18,12:29 PM,AF,25.8,60,C,432.37,0,0,0,EHP,,,1.36,7.42,0.3833,14.3535
1.7,7/18/18,11:32 AM,AF,26.6,62,AC,430.93,0,0,0,EHP,,,N/A,7.71,1.0023,14.2996
1.7,7/21/18,1:43 PM,AF,26.1,61,C,431.87,0,0,0,EHP,,,N/A,6.47,1.04,13.97
1.7,7/24/18,11:00 AM,AF,26.1,61,CF,432.74,0,0,0,EHP,,,0.65,7.84,1.02,15.4
1.7,7/27/18,12:34 PM,AF,25.5,64,CL,431.77,0,0,0,EP,,,N/A,7.26,1,13.87
1.7,7/30/18,9:58 AM,AF,26.1,62,CL,432.57,0,0,0,EP,,,N/A,9.85,1.03,14.03
1.7,8/2/18,11:33 AM,AF,26,60,CF,433.23,3,3,1,EP,1,3,1.74,6.36,1.01,14.46
1.7,8/5/18,8:35 AM,AF,26,62,CL,433.09,3,3,0,EHP,,3,N/A,8.5,1,14.19
3.3,6/21/18,2:06 PM,AF,26.6,58,C,432.21,0,0,0,EHP,,,N/A,X,1.0846,14.3311
3.3,6/24/18,1:47 PM,AF,26.8,57,C,433.02,0,0,0,EHP,,,N/A,6.76,1.021,13.7357
3.3,6/27/18,3:48 PM,AF,26.7,56,CF,434.09,0,0,0,EHP,,,2.4,6.59,1.0205,14.1867
3.3,6/30/18,3:55 PM,AF,26.7,64,CF,432.41,0,0,0,EHP,,,N/A,6,3.9386,25.6545
3.3,7/3/18,6:00 PM,AF,26.2,60,C,437.48,0,0,1,EHP,1,,N/A,16.37,3.8858,26.3207
3.3,7/6/18,5:53 PM,AF,26.2,60,C,442.01,4,4,0,EHP,,,7.61,17.18,3.9355,25.2814
3.3,7/9/18,2:23 PM,AF,26.6,65,C,435.84,7,3,0,EHP,,,N/A,17.41,1.0131,13.5574
3.3,7/12/18,3:20 PM,AF,26.5,53,CLF,436.01,9,2,0,EHP,,9,N/A,8.9,0.9902,13.9154
3.3,7/15/18,14:17,AF,26.5,61,C,637.53,0,0,0,EHP,,,4.64,6.93,1.0272,14.766
3.3,7/18/18,12:12 PM,AF,26.4,62,C,432.51,2,2,1,EHP,1,2,N/A,8.67,1.0292,16.6838
3.3,7/21/18,15:34,JH,26.4,67,C,432.72,2,2,1,,1,2,N/A,7.22,3.809,24.84
3.3,7/24/18,1:07 PM,AF,26.4,61,C,435,1,1,1,EHP,1,1,3.34,13.36,3.93,26.31
3.3,7/27/18,2:20 PM,AF,26.5,61,C,635.23,0,0,1,EHP,0,,N/A,17.43,3.88,26.11
3.3,7/30/18,10:58 AM,AF,26.5,64,C,439.63,0,0,0,EHP,1,,N/A,20.01,1.02,14.45
3.3,8/2/18,1:30 PM,AF,26.7,62,CF,439.23,1,1,0,EP,,1,6.65,6.84,1,14.67
3.3,8/5/18,9:30 AM,AF,25.9,60,CF,433.29,3,3,1,EP,1,3,N/A,6.9,,
1.1,6/21/18,12:07 AM,AF,26.4,60,C,431.09,0,0,0,EH,,,N/A,N/A,1.0878,13.4162
1.1,6/24/18,11:42 AM,AF,26.6,61,C,431.35,0,0,0,EH,,,N/A,7.22,0.9912,13.0067
1.1,6/27/18,2:44 PM,AF,26.5,58,C,432.88,0,0,0,EHP,,,4.78,7.36,0.9727,13.6571
1.1,6/30/18,3:11 PM,AF,26.5,62,C,430.09,0,0,0,EHP,,,N/A,6.87,0.9606,11.6712
1.1,7/3/18,5:12 PM,AF,26.2,60,AF,431.04,0,0,0,EHP,,,N/A,6.34,1.0074,14.8163
1.1,7/6/18,5:08 PM,AF,26,53,CF,432.03,1,1,0,EHP,,,2.54,8.13,1.0168,13.6729
1.1,7/9/18,1:18 PM,AF,26.2,63,C,429.89,1,0,0,EHP,,,N/A,10.47,1.006,14.1716
1.1,7/12/18,1:26 PM,AF,26.3,58,C,431.57,1,0,0,EHP,,1,N/A,8.7,1.0431,14.1106
1.1,7/15/18,12:34 PM,AF,25.8,60,C,431.38,0,0,1,EHP,1,,1.76,8.72,1.0083,14.3152
1.1,7/18/18,11:34 AM,AF,26.4,61,ACL,430.22,0,0,0,EHP,,,N/A,8.96,1.013,14.1555
1.1,7/21/18,1:52 PM,AF,26.1,61,C,430.24,0,0,0,EHP,,,N/A,6.56,1,13.82
1.1,7/24/18,11:03,AF,26,65,C,429.11,1,1,0,EP,,1,1.29,8.55,1.03,16.97
1.1,7/27/18,12:37 PM,AF,23.5,64,L,430.18,1,1,2,EP,2,1,N/A,4.13,0.97,14.02
1.1,7/30/18,10:00 AM,AF,26.1,61,C,430.48,0,0,1,EP,3,,N/A,4.82,1.01,13.33
1.1,8/2/18,12:17 PM,AF,26.3,64,C,431.62,0,0,3,EHP,3,,2.06,7.75,1.01,13.68
1.1,8/5/18,9:00 AM,AF,25.9,61,C,431.74,0,0,1,EHP,1,,N/A,10.01,1,13.6
1.2,6/21/18,12:10 PM,AF,26.4,61,C,440.12,0,0,0,EH,,,N/A,N/A,1.0931,14.2467
1.2,6/24/18,11:44 AM,AF,26.6,61,AC,440.93,0,0,0,EH,,,N/A,7.75,1.0403,13.8998
1.2,6/27/18,2:50 PM,AF,26.6,59,C,443.09,0,0,1,EHP,1,,3.56,7.53,0.967,14.6186
1.2,6/30/18,3:15 PM,AF,26.5,62,C,440,0,0,0,EHP,,,N/A,8.25,1.0622,11.2996
1.2,7/3/18,5:17 PM,AF,26.2,60,C,439.04,0,0,1,HP,1,,N/A,7.22,1.0203,13.902
1.2,7/6/18,5:12 PM,AF,26,55,CF,441.31,1,1,0,EHP,,,2.07,7.83,1.0069,13.3129
1.2,7/9/18,1:20 PM,AF,26.2,63,CF,438.95,5,4,0,EHP,,,N/A,7.06,1.032,14.8606
1.2,7/12/18,1:32 PM,AF,26.4,58,CL,440.67,6,1,0,EHP,0,6,N/A,8.63,1.0317,14.1032
1.2,7/15/18,1:24 PM,AF,25.8,66,C,439.95,0,0,0,EHP,,,2.01,7.25,0.9768,14.028
1.2,7/18/18,11:38 AM,AF,26.6,61,ACL,438.82,0,0,0,EHP,,,N/A,7.41,1.0078,14.3753
1.2,7/21/18,1:34 PM,AF,26.2,6.2,C,439.18,1,1,1,EHP,1,1,N/A,6.69,0.99,13.75
1.2,7/24/18,11:41 AM,AF,26,65,C,438.2,0,0,0,EH,,,1.59,8.05,0.97,15.33
1.2,7/27/18,12:47 AM,AF,25.6,62,L,436.07,0,0,1,EP,1,,N/A,4.8,1.03,14.18
1.2,7/30/18,10:07 AM,AF,26,61,C,441.39,0,0,0,EP,,,N/A,8.52,1,14.2
1.2,8/2/18,12:24 PM,AF,26.4,63,CL,440.44,0,0,1,EP,1,,1.2,7.03,0.98,14.34
1.2,8/5/18,9:02 AM,AF,25.9,61,C,441.31,0,0,1,EP,1,,N/A,8.46,0.99,13.67
3.5,6/21/18,12:17 PM,AF,26.4,60,CF,424.22,0,0,0,EH,,,N/A,N/A,1.0583,13.6281
3.5,6/24/18,11:48 AM,AF,26.6,61,C,425.19,0,0,0,EH,,,N/A,6.18,1.0079,14.825
3.5,6/27/18,3:00 PM,AF,26.6,60,C,426.48,0,0,0,EHP,,,4.02,7.48,0.9815,13.6789
3.5,6/30/18,3:18 PM,AF,26.3,62,CF,423.31,0,0,0,EHP,,,N/A,7.25,3.8327,25.1742
3.5,7/3/18,5:30 PM,AF,26.2,62,C,428.56,0,0,0,EHP,,,N/A,17.13,3.8712,25.2971
3.5,7/6/18,5:16 PM,AF,26,56,CF,430.53,0,0,0,EHP,,,8.75,21.9,3.8551,25.7949
3.5,7/9/18,1:23 PM,AF,26.2,62,C,426.54,0,0,0,EHP,,,N/A,18.44,1.007,14.3256
3.5,7/12/18,1:48 PM,AF,26.4,58,C,428.43,3,3,0,EHP,,3,N/A,8.89,0.9869,14.3042
3.5,7/15/18,1:27 PM,AF,25.8,65,C,428.05,1,1,0,EHP,,1,5.24,8.91,0.552,13.7528
3.5,7/18/18,11:40 AM,AF,26.4,61,C,423.16,0,0,0,EH,,,N/A,10.56,1.019,14.215
3.5,7/21/18,1:59 PM,AF,26.4,63,C,423.76,0,0,0,EH,,,N/A,9.11,3.94,25.62
3.5,7/24/18,11:44 AM,AF,25.9,63,C,425.56,0,0,0,EH,,,5.7,21.87,3.91,20.51
3.5,7/27/18,12:51 PM,AF,25.7,62,C,427.45,0,0,0,EH,,,N/A,17.38,3.9,25.76
3.5,7/30/18,10:11 AM,AF,26,61,C,430.14,0,0,0,EH,,,N/A,20.97,0.98,14.06
3.5,8/2/18,12:32 PM,AF,26.4,61,C,430.59,0,0,0,EH,,,7.72,8.17,1,13.6
3.5,8/5/18,9:06 AM,AF,25.9,61,L,422.58,0,0,0,EH,,,N/A,11.55,1.01,13.92
3.6,6/21/18,1:21 PM,AF,26.4,63,C,431.95,0,0,0,EH,,,N/A,x,1.065,13.8814
3.6,6/24/18,11:51 AM,AF,26.6,60,C,432.57,0,0,0,EHP,,,N/A,7.52,1.0343,14.6559
3.6,6/27/18,3:06 PM,AF,26.6,59,C,433.58,0,0,0,EHP,,,1.15,9.03,0.9831,16.1756
3.6,6/30/18,3:21 PM,AF,26.5,62,C,432.84,0,0,0,EHP,,,N/A,8.84,3.9383,26.1483
3.6,7/3/18,5:33 PM,AF,26.2,61,C,436.2,0,0,0,EHP,,,N/A,19.94,3.9215,25.5135
3.6,7/6/18,5:21 PM,AF,26,56,C,440.5,1,1,0,EHP,,,10.17,18.94,3.9064,26.6615
3.6,7/10/18,1:58 PM,AF,26.1,63,CF,432.32,3,2,0,EHP,,,N/A,20.81,1.0248,14.1388
3.6,7/12/18,1:59 PM,AF,26.4,59,C,434.56,4,1,0,EHP,,4,N/A,9.87,1.0392,14.2821
3.6,7/15/18,1:35 PM,AF,25.8,63,CF,433.34,1,1,0,EHP,,1,6.71,7.3,1.0374,13.9513
3.6,7/18/18,11:42 AM,AF,26.3,60,C,430.08,0,0,0,EHP,,,N/A,7.36,0.9963,13.2502
3.6,7/21/18,2:01 PM,AF,26.5,63,C,430.27,0,0,0,EHP,,,N/A,6.81,3.88,25.38
3.6,7/24/18,11:48 AM,AF,25.9,61,CC,432.69,0,0,0,EHP,,,4.56,18.87,3.9,26.58
3.6,7/27/18,13:30,AF,26,59,C,433.88,1,1,1,EHP,1,1,N/A,16.39,3.92,26.01
3.6,7/30/18,10:14 AM,AF,26,61,AC,438.37,1,1,1,EHP,1,1,N/A,19.21,1,14.5
3.6,8/2/18,12:35,AF,26.4,61,C,437.56,0,0,1,E,1,,7.72,7.64,1,13.6
3.6,8/5/18,9:08 AM,AF,25.9,61,C,439.24,0,0,0,E,,,N/A,8.71,0.98,13.75
4.6,6/21/18,1:29 PM,AF,26.5,63,C,435.24,0,0,0,EH,,,N/A,x,0.7634,11.6295
4.6,6/24/18,12:03 PM,AF,26.6,60,CF,435.9,0,0,0,EH,,,N/A,6.69,0.7276,11.2936
4.6,6/27/18,3:16 PM,AF,26.6,59,CF,435.7,0,0,0,EHP,,,1.81,6.32,0.7727,11.607
4.6,6/30/18,3:33 PM,AF,26.3,61,ACF,434.74,0,0,0,EHP,,,N/A,7.26,1.6022,23.7422
4.6,7/3/18,5:39 PM,AF,26.2,61,CF,436.15,3,3,0,EHP,,,N/A,13.13,1.5692,20.0415
4.6,7/6/18,5:20 PM,AF,26,58,C,439.07,7,4,0,EHP,,,2.34,9.11,1.6023,15.7435
4.6,7/9/18,2:06 PM,AF,26.3,61,CF,436.28,7,0,0,EHP,,,N/A,11.68,0.7341,11.4928
4.6,7/12/18,2:16 PM,AF,26.5,59,CL,436.02,7,0,0,EHP,,7,N/A,6.74,0.7733,11.6905
4.6,7/15/18,1:46 PM,AF,25.9,61,CLF,435.15,0,0,0,EHP,,,2.65,6.78,0.7882,11.7359
4.6,7/18/18,11:46 AM,AF,26.3,60,C,433.46,0,0,0,EP,,,N/A,6.94,0.727,11.991
4.6,7/21/18,2:05 PM,AF,26.7,64,C,433.55,3,3,0,EHP,,3,N/A,6.85,1.64,18.82
4.6,7/24/18,11:58 AM,AF,26,59,CF,432.27,0,0,0,EHP,,,2.82,17.26,1.6,20.05
4.6,7/27/18,1:50 PM,AF,26.7,64,C,434.02,0,0,0,E,,,N/A,17.78,1.62,20.27
4.6,7/30/18,10:33 PM*,AF,25.8,60,CL,434.87,0,0,0,E,,,N/A,17.4,0.75,11.42
4.6,8/2/18,12:45 PM,AF,26.3,62,CL,433.64,0,0,0,E,,,3.62,7.44,0.75,11.34
4.6,8/5/18,9:14 AM,AF,25.9,60,CF,434,0,0,0,EHP,,,N/A,7.85,0.72,12.23
4.1,6/21/18,1:25 PM,AF,26.5,63,C,436.57,0,0,0,EH,,,N/A,x,0.746,11.3621
4.1,6/24/18,11:59 AM,AF,26.6,60,CF,436.63,0,0,0,EHP,,,N/A,6.28,0.7541,11.8678
4.1,6/27/18,3:11 PM,AF,26.6,59,CF,435.44,0,0,0,EHP,,,2.36,6.21,0.7019,11.7628
4.1,6/30/18,3:30 PM,AF,26.5,61,CF,432.77,0,0,0,EHP,,,N/A,6.68,1.571,20.4395
4.1,7/3/18,5:37 PM,AF,26.2,616,C,435.73,2,2,0,EHP,,,N/A,10.87,1.6032,20.4365
4.1,7/6/18,5:25 AM,AF,26,58,C,438.93,4,2,0,EHP,,,3.53,10.99,1.6127,19.1888
4.1,7/9/18,2:01 PM,AF,26.1,62,CL,433.51,5,1,0,EHP,,1,N/A,15.35,0.7154,11.7877
4.1,7/12/18,2:05 PM,AF,26.5,59,C,434.79,5,1,0,EHP,,5,N/A,7.45,0.7154,11.1429
4.1,7/15/18,1:42 PM,AF,25.8,62,C,433.01,0,0,0,EHP,,,1.86,7.55,0.7882,12.3611
4.1,7/18/18,11:44 AM,AF,26.3,60,CF,432.03,0,0,0,EHP,,,N/A,7.01,0.7587,12.3276
4.1,7/21/18,2:03 PM,AF,26.6,63,C,432.25,0,0,1,EH,1,,N/A,7.03,1.62,19.55
4.1,7/24/18,11:51 AM,AF,25.9,61,C,431.82,1,1,1,EHP,1,1,2.57,16.29,1.6,20.44
4.1,7/27/18,1:37 PM,AF,26.2,61,C,431.58,4,4,1,EP,1,4,N/A,10.4,1.63,18.64
4.1,7/30/18,10:22 AM,AF,25.9,61,C,434.81,0,0,1,E,1,,N/A,15.91,0.78,12.37
4.1,8/2/18,12:40 PM,AF,26.4,60,C,435.56,0,0,1,E,1,,3.41,6.98,0.75,11.75
4.1,8/5/18,9:12 AM,AF,25.9,60,AC,434.02,0,0,0,EH,,,N/A,1.81,0.75,11.82
