date,id,drone.number,it.distance
4/13/18,1.3,1,2.839
4/13/18,1.5,1,2.803
4/9/18,1.6,1,2.979
,,2,3.13
,,3,2.416
,,4,3.217
,,5,3.389
4/13/18,3.3,1,2.92
,,2,3.373
4/23/18,2.5,1,2.983
4/9/18,3.5,1,2.966
,,2,3.654
,,3,3.058
4/13/18,3.5,1,3.445
4/13/18,2.3,1,3.304
,,2,3.753
,,3,2.565
,,4,3.449
,,5,2.663
,,6,3.344
,,7,3.078
4/9/18,3.4,1,3.302
,,2,3.124
4/9/18,3.4,1,3.815
,,2,2.862
4/9/18,2.3,1,3.258
4/16/18,1.7,1,2.748
,,2,2.847
,,3,2.679
,,4,2.861
4/9/18,1.5,1,2.748
,,2,2.926
,,3,3.023
4/16/18,3.6,1,3.387
,,2,3.221
,,3,2.432
4/9/18,3.2,1,3.209
,,2,2.51
,,3,2.606
,,4,2.716
,,5,2.549
4/13/18,3.4,1,3.112
,,2,2.667
4/13/18,1.7,1,2.98
,,2,3.478
,,3,3.241
,,4,2.509
4/5/18,2.4,1,3.138
,,2,3.749
,,3,2.795
,,4,3.139
4/9/18,2.7,1,3.149
,,2,2.785
,,3,2.657
,,4,2.575
4/5/18,3.1,1,2.588
,,2,3.694
,,3,3.062
,,4,3.606
,,5,2.867
4/5/18,3.4,1,3.227
,,2,3.204
,,3,2.602
4/9/18,2.4,1,2.626
,,2,2.964
,,3,3.04
,,4,3.187
4/9/18,3.6,1,3.269
,,2,2.588
,,3,2.649
,,4,3.362
,,5,3.43
4/9/18,2.3,1,3.039
,,2,2.926
,,3,2.9
,,4,2.868
,,5,2.805
4/16/18,1.3,1,2.405
,,2,2.912
4/16/18,4.7,1,3.108
4/20/18,2.2,1,2.54
4/16/18,4.2,1,2.997
4/5/18,3.2,1,2.916
,,2,2.479
,,3,3.191
4/20/18,2.5,1,2.773
,,2,3.264
4/20/18,4.6,1,3.149
,,2,2.474
,,3,3.15
,,4,2.987
4/13/18,1.2,1,2.996
,,2,3.108
,,3,3.231
,,4,3.355
,,5,3.265
4/5/18,1.5,1,2.67
,,2,2.914
,,3,2.3
,,4,3.133
,,5,2.348
4/20/18,3.6,1,2.264
4/13/18,3.2,1,2.911
4/20/18,2.3,1,2.722
,,2,3.332
4/20/18,1.3,1,2.849
4/20/18,2.6,1,3.191
,,2,3.319
,,3,2.912
4/13/18,3.7,1,3.245
4/20/18,3.3,1,3.366
,,2,3.264
,,3,2.994
4/20/18,2.6,1,3.009
,,2,3.302
,,3,2.799
4/16/18,3.2,1,2.825
,,2,2.843
,,3,2.881
,,4,3.029
,,5,2.93
4/20/18,4.4,1,3.13
,,2,2.994
,,3,2.95
,,4,2.92
,,5,2.801
4/5/18,3.6,1,2.766
,,2,3.118
,,3,3.134
,,4,2.89
,,5,2.863
4/5/18,4.4,1,3.355
,,2,3.278
4/5/18,4.2,1,3.035
,,2,3.23
,,3,2.819
,,4,3.172
4/20/18,2.7,1,2.545
,,2,2.882
,,3,2.896
4/20/18,1.7,1,2.57
,,2,2.306
4/16/18,2.7,1,2.946
,,2,3.128
,,3,2.624
,,4,2.657
,,5,2.892
4/20/18,2.1,1,2.083
,,2,2.964
,,3,2.83
4/5/18,2.6,1,3.239
,,2,3.13
4/5/18,2.2,1,2.964
,,2,2.772
,,3,3.222
4/20/18,3.1,1,3.137
,,2,3.327
,,3,3.019
,,4,3.169
,,5,3.073
4/5/18,2.1,1,3.481
,,2,3.045
4/9/18,4.6,1,2.691
,,2,2.631
,,3,2.832
,,4,2.84
4/5/18,1.3,1,2.7
,,2,3.53
,,3,3.057
,,4,2.946
4/1/18,4.1,1,1.977
,,2,3.162
,,3,2.599
4/9/18,1.7,1,2.232
,,2,2.684
4/9/18,2.2,1,3.594
4/9/18,2.2,1,3.288
,,2,3.49
,,3,2.817
,,4,2.383
,,5,3.364
4/9/18,4.6,1,2.597
,,2,3.348
4/9/18,2.6,1,2.801
3/26/18,3.2,1,2.764
,,2,3.097
4/9/18,2.1,1,3.502
,,2,2.672
,,3,2.85
,,4,2.855
5/2/18,3.3,1,2.414
,,2,2.707
,,3,2.668
,,4,2.841
5/2/18,2.2,1,2.84
,,2,3.414
,,3,3.054
,,4,3.636
