rep,date,id,n.drones,drone.mass,avg.individ.mass,treatment,trt_pulse,trt_total
1,2018-04-09,3.4,2,0.30078,0.15039,zone.3,pulse,100
1,2018-04-09,1.2,2,0.21917,0.109585,zone.1,constant,60
1,2018-04-09,2.3,1,0.11013,0.11013,zone.2,constant,100
1,2018-04-16,1.7,4,0.28978,0.072445,zone.1,constant,60
1,2018-04-09,1.5,3,0.29178,0.09726,zone.1,constant,60
1,2018-04-16,3.6,3,0.3672,0.12240000000000001,zone.3,pulse,100
1,2018-04-09,3.2,5,0.42746,0.085492,zone.3,pulse,100
1,2018-04-13,3.4,2,0.24187,0.120935,zone.3,pulse,100
1,2018-04-13,1.7,5,0.33061,0.066122,zone.1,constant,60
1,2018-04-09,2.7,4,0.41018,0.102545,zone.2,constant,100
1,2018-04-09,3.1,5,0.7981,0.15962,zone.3,pulse,100
1,2018-04-05,3.4,3,0.37786,0.12595333333333333,zone.3,pulse,100
1,2018-04-09,3.6,5,0.6117,0.12234,zone.3,pulse,100
1,2018-04-09,2.3,5,0.58122,0.11624399999999999,zone.2,constant,100
1,2018-04-16,1.3,2,0.1364,0.0682,zone.1,constant,60
1,2018-04-16,4.7,1,0.09244,0.09244,zone.4,pulse,60
1,2018-04-20,2.2,1,0.08888,0.08888,zone.2,constant,100
1,2018-04-16,4.2,1,0.14063,0.14063,zone.4,pulse,60
1,2018-04-05,3.2,3,0.30313,0.10104333333333333,zone.3,pulse,100
1,2018-04-20,2.5,2,0.2397,0.11985,zone.2,constant,100
1,2018-04-20,4.6,4,0.40194,0.100485,zone.4,pulse,60
1,2018-04-13,1.2,5,0.52053,0.104106,zone.1,constant,60
1,2018-04-05,1.5,5,0.414,0.0828,zone.1,constant,60
1,2018-04-20,3.6,1,0.9561,0.9561,zone.3,pulse,100
1,2018-04-13,3.2,1,0.11302,0.11302,zone.3,pulse,100
1,2018-04-20,2.3,2,0.33119,0.165595,zone.2,constant,100
1,2018-04-20,1.3,1,0.11471,0.11471,zone.1,constant,60
1,2018-04-20,2.6,3,0.45049,0.15016333333333334,zone.2,constant,100
1,2018-04-13,3.7,1,0.14352,0.14352,zone.3,pulse,100
1,2018-04-20,3.3,3,0.42708,0.14236000000000001,zone.3,pulse,100
1,2018-04-20,2.6,3,0.42874,0.14291333333333334,zone.2,constant,100
1,2018-04-16,3.2,5,0.53461,0.106922,zone.3,pulse,100
1,2018-04-20,4.4,4,0.46407,0.1160175,zone.4,pulse,60
1,2018-04-05,3.6,5,0.86567,0.173134,zone.3,pulse,100
1,2018-04-05,4.4,2,0.34199,0.170995,zone.4,pulse,60
1,2018-04-05,4.2,4,0.5809,0.145225,zone.4,pulse,60
1,2018-04-20,2.7,3,0.28789,0.09596333333333333,zone.2,constant,100
1,2018-04-20,1.7,2,0.19234,0.09617,zone.1,constant,60
1,2018-04-16,2.7,5,0.58022,0.116044,zone.2,constant,100
1,2018-04-20,2.1,3,0.34916,0.11638666666666668,zone.2,constant,100
1,2018-04-05,2.6,2,0.29374,0.14687,zone.2,constant,100
1,2018-04-05,2.2,3,0.42977,0.14325666666666667,zone.2,constant,100
1,2018-04-20,3.1,5,0.62951,0.12590200000000001,zone.3,pulse,100
1,2018-04-05,2.1,2,0.29229,0.146145,zone.2,constant,100
1,2018-04-09,4.6,4,0.38131,0.0953275,zone.4,pulse,60
1,2018-04-05,1.3,4,0.60769,0.1519225,zone.1,constant,60
1,2018-04-01,4.1,3,0.38295,0.12765,zone.4,pulse,60
1,2018-04-09,1.7,2,0.14334,0.07167,zone.1,constant,60
1,2018-04-09,2.2,1,0.1732,0.1732,zone.2,constant,100
1,2018-04-09,2.2,5,0.74902,0.149804,zone.2,constant,100
1,2018-04-09,4.6,2,0.30112,0.15056,zone.4,pulse,60
1,2018-04-09,2.6,1,0.1482,0.1482,zone.2,constant,100
1,2018-03-26,3.2,2,0.21277,0.106385,zone.3,pulse,100
1,2018-04-09,2.1,4,0.54263,0.1356575,zone.2,constant,100
1,2018-05-02,3.3,4,0.44628,0.11157,zone.3,pulse,100
1,2018-05-02,2.2,4,0.65302,0.163255,zone.2,constant,100
1,2018-04-24,3.4,1,0.12115,0.12115,zone.3,pulse,100
1,2018-03-26,2.6,5,0.57054,0.11410800000000001,zone.2,constant,100
1,2018-04-24,2.5,3,0.33093,0.11031,zone.2,constant,100
1,2018-04-24,4.6,3,0.22247,0.07415666666666666,zone.4,pulse,60
1,2018-04-24,3.5,5,0.65718,0.131436,zone.3,pulse,100
1,2018-05-02,1.6,4,0.51872,0.12968,zone.1,constant,60
1,2018-05-02,4.6,2,0.20327,0.101635,zone.4,pulse,60
1,2018-05-02,2.7,2,0.26458,0.13229,zone.2,constant,100
1,2018-05-02,2.5,2,0.28348,0.14174,zone.2,constant,100
1,2018-05-02,4.1,2,0.22425,0.112125,zone.4,pulse,60
1,2018-05-02,3.7,4,0.49295,0.1232375,zone.3,pulse,100
1,2018-05-02,3.5,4,0.43049,0.1076225,zone.3,pulse,100
1,2018-04-24,4.4,2,0.27557,0.137785,zone.4,pulse,60
1,2018-04-24,2.1,2,0.17962,0.08981,zone.2,constant,100
1,2018-04-24,1.6,4,0.3524,0.0881,zone.1,constant,60
1,2018-05-02,3.5,5,0.73766,0.147532,zone.3,pulse,100
1,2018-04-24,2.6,5,0.62927,0.125854,zone.2,constant,100
1,2018-04-24,2.7,3,0.20517,0.06838999999999999,zone.2,constant,100
1,2018-04-24,2.2,2,0.24186,0.12093,zone.2,constant,100
1,2018-05-02,3.2,4,0.34293,0.0857325,zone.3,pulse,100
1,2018-05-02,2.6,1,0.12477,0.12477,zone.2,constant,100
1,2018-03-29,1.7,1,0.13116,0.13116,zone.1,constant,60
1,2018-03-26,3.5,6,0.66113,0.11018833333333333,zone.3,pulse,100
1,2018-05-02,2.2,3,0.43278,0.14426,zone.2,constant,100
1,2018-04-24,3.7,1,0.11434,0.11434,zone.3,pulse,100
1,2018-03-12,1.7,1,0.08068,0.08068,zone.1,constant,60
1,2018-04-24,4.2,5,0.57387,0.114774,zone.4,pulse,60
1,2018-04-01,4.1,5,0.54924,0.10984799999999999,zone.4,pulse,60
1,2018-03-29,2.5,4,0.47698,0.119245,zone.2,constant,100
1,2018-03-26,2.3,1,0.0651,0.0651,zone.2,constant,100
1,2018-03-26,3.7,3,0.45669,0.15223,zone.3,pulse,100
1,2018-03-26,3.1,1,0.15613,0.15613,zone.3,pulse,100
1,2018-04-01,2.3,2,0.28424,0.14212,zone.2,constant,100
1,2018-03-29,3.3,2,0.27975,0.139875,zone.3,pulse,100
1,2018-03-15,1.1,1,0.04415,0.04415,zone.1,constant,60
1,2018-03-29,1.6,1,0.11586,0.11586,zone.1,constant,60
1,2018-04-01,2.1,5,0.74385,0.14877,zone.2,constant,100
1,2018-04-01,4.6,5,0.70122,0.14024399999999998,zone.4,pulse,60
1,2018-04-01,4.4,5,0.68756,0.137512,zone.4,pulse,60
1,2018-03-12,2.3,1,0.04083,0.04083,zone.2,constant,100
1,2018-04-01,3.3,2,0.3222,0.1611,zone.3,pulse,100
1,2018-05-02,2.6,2,0.28595,0.142975,zone.2,constant,100
1,2018-04-24,3.3,3,0.47225,0.15741666666666668,zone.3,pulse,100
1,2018-05-02,2.6,4,0.59274,0.148185,zone.2,constant,100
2,2018-07-13,3.7,1,0.1167,0.1167,NA,pulse,100
2,2018-07-13,2.3,6,0.8572,0.14286666666666667,NA,constant,100
2,2018-07-13,2.4,5,0.7342,0.14684,NA,constant,100
2,2018-07-13,3.5,3,0.3608,0.12026666666666667,NA,pulse,100
2,2018-07-13,2.5,6,0.7784,0.12973333333333334,NA,constant,100
2,2018-07-19,3.3,2,0.1376,0.0688,NA,pulse,100
2,2018-07-13,1.5,4,0.7091,0.177275,NA,constant,60
2,2018-07-16,3.7,1,0.1391,0.1391,NA,pulse,100
2,2018-07-16,4.3,1,0.0657,0.0657,NA,pulse,60
2,2018-07-16,4.7,1,0.0836,0.0836,NA,pulse,60
2,2018-07-19,2.5,1,0.1545,0.1545,NA,constant,100
2,2018-07-13,3.6,5,0.6538,0.13076000000000002,NA,pulse,100
2,2018-07-13,3.1,8,0.7506,0.093825,NA,pulse,100
2,2018-07-13,2.1,2,0.26,0.13,NA,constant,100
2,2018-07-13,1.1,1,0.1064,0.1064,NA,constant,60
2,2018-07-13,4.7,6,0.5034,0.08389999999999999,NA,pulse,60
2,2018-07-13,4.3,4,0.4426,0.11065,NA,pulse,60
2,2018-07-16,3.5,1,0.061,0.061,NA,pulse,100
2,2018-07-16,2.7,1,0.0513,0.0513,NA,constant,100
2,2018-07-13,4.4,9,1.254,0.13933333333333334,NA,pulse,60
2,2018-07-19,1.6,2,0.1298,0.0649,NA,constant,60
2,2018-07-13,3.4,2,0.278,0.139,NA,pulse,100
2,2018-07-13,4.5,4,0.4201,0.105025,NA,pulse,60
2,2018-07-13,3.2,9,1.2536,0.1392888888888889,NA,pulse,100
2,2018-07-13,4.6,7,1.0146,0.14494285714285712,NA,pulse,60
2,2018-07-13,1.6,9,0.9527,0.10585555555555555,NA,constant,60
2,2018-07-16,3.1,2,0.1667,0.08335,NA,pulse,100
2,2018-08-09,1.7,3,0.2935,0.09783333333333333,NA,constant,60
2,2018-08-09,2.6,2,0.2274,0.1137,NA,constant,100
2,2018-07-13,3.6,1,0.1129,0.1129,NA,pulse,100
2,2018-07-16,2.2,4,0.3435,0.085875,NA,constant,100
2,2018-07-16,1.3,1,0.1274,0.1274,NA,constant,60
2,2018-07-16,2.5,2,0.2856,0.1428,NA,constant,100
2,2018-08-09,2.2,2,0.2322,0.1161,NA,constant,100
2,2018-08-09,1.3,2,0.1523,0.07615,NA,constant,60
2,2018-08-09,3.2,6,0.6891,0.11485000000000001,NA,pulse,100
2,2018-08-06,1.5,2,0.1381,0.06905,NA,constant,60
2,2018-08-06,1.7,3,0.2731,0.09103333333333334,NA,constant,60
2,2018-08-06,3.3,1,0.1361,0.1361,NA,pulse,100
2,2018-08-06,3.2,3,0.3366,0.11220000000000001,NA,pulse,100
2,2018-08-06,2.5,2,0.185,0.0925,NA,constant,100
2,2018-08-06,2.2,3,0.3205,0.10683333333333334,NA,constant,100
2,2018-08-06,2.4,2,0.2293,0.11465,NA,constant,100
2,2018-08-09,3.3,3,0.3658,0.12193333333333334,NA,pulse,100
2,2018-08-02,1.3,3,0.3406,0.11353333333333333,NA,constant,60
2,2018-08-02,2.7,2,0.2394,0.1197,NA,constant,100
2,2018-08-06,3.7,2,0.165,0.0825,NA,pulse,100
2,2018-08-06,2.7,3,0.336,0.112,NA,constant,100
2,2018-08-02,2.6,1,0.1494,0.1494,NA,constant,100
2,2018-08-02,3.7,5,0.5457,0.10913999999999999,NA,pulse,100
2,2018-08-02,3.6,1,0.1065,0.1065,NA,pulse,100
2,2018-08-02,1.5,2,0.1954,0.0977,NA,constant,60
2,2018-07-26,1.1,1,0.1163,0.1163,NA,constant,60
2,2018-07-30,3.6,1,0.1075,0.1075,NA,pulse,100
2,2018-07-30,2.1,3,0.2845,0.09483333333333333,NA,constant,100
2,2018-07-30,4.1,4,0.3274,0.08185,NA,pulse,60
2,2018-07-30,1.5,1,0.1144,0.1144,NA,constant,60
2,2018-07-30,2.3,2,0.1517,0.07585,NA,constant,100
2,2018-07-30,2.6,4,0.4919,0.122975,NA,constant,100
2,2018-07-30,4.7,1,0.0428,0.0428,NA,pulse,60
2,2018-07-30,3.7,3,0.36,0.12,NA,pulse,100
2,2018-08-02,4.3,2,0.107,0.0535,NA,pulse,60
2,2018-07-23,2.3,2,0.1535,0.07675,NA,constant,100
2,2018-07-23,4.3,3,0.2962,0.09873333333333334,NA,pulse,60
2,2018-07-19,3.1,3,0.2813,0.09376666666666666,NA,pulse,100
2,2018-07-26,4.5,1,0.0975,0.0975,NA,pulse,60
2,2018-07-26,3.1,1,0.1349,0.1349,NA,pulse,100
2,2018-07-26,2.4,1,0.094,0.094,NA,constant,100
2,2018-07-30,1.1,1,0.0871,0.0871,NA,constant,60
2,2018-07-30,2.4,1,0.0678,0.0678,NA,constant,100
2,2018-07-26,4.4,1,0.1272,0.1272,NA,pulse,60
2,2018-07-13,1.7,5,0.8355,0.1671,NA,constant,60
2,2018-07-19,2.2,2,0.1598,0.0799,NA,constant,100
2,2018-07-26,3.2,2,0.1431,0.07155,NA,pulse,100
2,2018-07-23,4.7,3,0.2587,0.08623333333333333,NA,pulse,60
2,2018-07-26,4.3,1,0.1267,0.1267,NA,pulse,60
2,2018-07-26,4.1,1,0.0641,0.0641,NA,pulse,60
2,2018-07-26,4.7,2,0.1408,0.0704,NA,pulse,60
2,2018-07-26,3.3,1,0.0726,0.0726,NA,pulse,100
2,2018-08-02,2.4,1,0.059,0.059,NA,constant,100
2,2018-07-19,2.3,2,0.084,0.042,NA,constant,100
2,2018-07-19,4.3,1,0.0861,0.0861,NA,pulse,60
2,2018-07-23,4.6,3,0.1916,0.06386666666666667,NA,pulse,60
2,2018-07-23,1.2,1,0.0796,0.0796,NA,constant,60
2,2018-07-23,3.3,2,0.1578,0.0789,NA,pulse,100
2,2018-07-23,4.4,2,0.1566,0.0783,NA,pulse,60
2,2018-07-26,2.3,4,0.336,0.084,NA,constant,100
2,2018-07-26,2.1,4,0.4441,0.111025,NA,constant,100
2,2018-07-26,2.6,1,0.1435,0.1435,NA,constant,100
2,2018-07-13,2.2,5,0.8003,0.16006,NA,constant,100
2,2018-07-16,1.6,4,0.2883,0.072075,NA,constant,60
2,2018-07-13,3.3,9,1.3044,0.14493333333333333,NA,pulse,100
2,2018-07-13,1.2,6,0.5703,0.09505000000000001,NA,constant,60
2,2018-07-13,4.1,5,0.5838,0.11676,NA,pulse,60
2,2018-07-13,3.2,6,0.8452,0.14086666666666667,NA,pulse,100
2,2018-07-16,3.2,2,0.1867,0.09335,NA,pulse,100
2,2018-07-13,2.7,2,0.233,0.1165,NA,constant,100
2,2018-07-13,2.6,2,0.3134,0.1567,NA,constant,100
3,2019-01-03,4.7,3,0.1644,0.054799999999999995,NA,pulse,60
3,2019-01-03,4.4,2,0.209,0.1045,NA,pulse,60
3,2019-01-03,3.4,1,0.0478,0.0478,NA,pulse,100
3,2019-01-03,3.5,1,0.1107,0.1107,NA,pulse,100
3,2019-01-03,3.3,2,0.1327,0.06635,NA,pulse,100
3,2019-01-03,2.3,1,0.1411,0.1411,NA,constant,100
3,2019-01-03,3.2,1,0.0935,0.0935,NA,pulse,100
3,2019-01-06,2.1,1,0.1215,0.1215,NA,constant,100
3,2019-01-06,2.3,4,0.4915,0.122875,NA,constant,100
3,2019-01-06,4.4,1,0.0491,0.0491,NA,pulse,60
3,2019-01-09,2.1,2,0.2416,0.1208,NA,constant,100
3,2019-01-09,4.7,3,0.2961,0.0987,NA,pulse,60
3,2019-01-09,2.6,5,0.6809,0.13618,NA,constant,100
3,2019-01-09,2.5,1,0.0932,0.0932,NA,constant,100
3,2019-01-09,1.4,1,0.0592,0.0592,NA,constant,60
3,2019-01-09,4.4,1,0.0426,0.0426,NA,pulse,60
3,2019-01-23,4.6,NA,NA,NA,NA,pulse,60
3,2019-01-23,4.4,NA,NA,NA,NA,pulse,60
3,2019-01-23,1.7,NA,NA,NA,NA,constant,60
3,2019-01-23,2.2,NA,NA,NA,NA,constant,100
3,2019-01-23,2.5,0,NA,NA,NA,constant,100
3,2019-01-23,2.4,3,0.3496,0.11653333333333334,NA,constant,100
3,2019-01-23,2.3,1,0.1092,0.1092,NA,constant,100
3,2019-01-23,4.3,NA,NA,NA,NA,pulse,60
3,2019-01-23,1.5,2,0.1079,0.05395,NA,constant,60
3,2019-01-23,3.6,0,NA,NA,NA,pulse,100
3,2019-01-23,4.2,0,NA,NA,NA,pulse,60
3,2019-01-23,2.6,1,0.1286,0.1286,NA,constant,100
3,2019-01-23,4.7,3,0.1747,0.05823333333333333,NA,pulse,60
3,2019-01-23,2.1,6,0.5442,0.0907,NA,constant,100
3,2019-01-23,1.6,0,NA,NA,NA,constant,60
3,2019-01-23,3.4,0,NA,NA,NA,pulse,100
3,2019-01-23,1.2,0,NA,NA,NA,constant,60
3,2019-01-23,4.1,3,0.2978,0.09926666666666667,NA,pulse,60
3,2019-01-23,3.5,0,NA,NA,NA,pulse,100
3,2019-01-23,1.1,2,0.2403,0.12015,NA,constant,60
3,2019-01-23,1.3,0,NA,NA,NA,constant,60
3,2019-01-23,1.4,0,NA,NA,NA,constant,60
3,2019-01-23,3.2,6,0.914,0.15233333333333335,NA,pulse,100
3,2019-01-23,3.3,0,NA,NA,NA,pulse,100
3,2018-11-28,2.2,2,0.2688,0.1344,NA,constant,100
3,2018-12-01,2.3,1,0.0556,0.0556,NA,constant,100
3,2018-12-01,2.6,1,0.1182,0.1182,NA,constant,100
3,2018-12-01,1.6,1,0.126,0.126,NA,constant,60
3,2018-12-03,4.2,1,0.0956,0.0956,NA,pulse,60
3,2018-12-03,4.4,1,0.1227,0.1227,NA,pulse,60
3,2018-12-03,3.4,1,0.1673,0.1673,NA,pulse,100
3,2018-12-03,4.3,1,0.1225,0.1225,NA,pulse,60
3,2018-12-06,2.2,1,0.168,0.168,NA,constant,100
3,2018-12-06,4.4,1,0.1287,0.1287,NA,pulse,60
3,2018-12-06,3.4,6,0.7287,0.12145,NA,pulse,100
3,2018-12-06,4.3,3,0.353,0.11766666666666666,NA,pulse,60
3,2018-12-06,1.4,3,0.3162,0.1054,NA,constant,60
3,2018-12-06,3.1,2,0.2578,0.1289,NA,pulse,100
3,2018-12-06,1.6,5,0.4431,0.08862,NA,constant,60
3,2018-12-06,3.6,3,0.358,0.11933333333333333,NA,pulse,100
3,2018-12-06,2.6,1,0.0934,0.0934,NA,constant,100
3,2018-12-06,2.3,3,0.3,0.09999999999999999,NA,constant,100
3,2018-12-06,1.5,3,0.1894,0.06313333333333333,NA,constant,60
3,2018-12-06,2.4,2,0.1934,0.0967,NA,constant,100
3,2018-12-09,4.1,4,0.3418,0.08545,NA,pulse,60
3,2018-12-09,4.2,1,0.0752,0.0752,NA,pulse,60
3,2018-12-09,4.3,1,0.1077,0.1077,NA,pulse,60
3,2018-12-09,1.1,1,0.073,0.073,NA,constant,60
3,2018-12-09,1.4,3,0.4123,0.13743333333333332,NA,constant,60
3,2018-12-09,1.5,1,0.0395,0.0395,NA,constant,60
3,2018-12-09,1.6,1,0.0894,0.0894,NA,constant,60
3,2018-12-09,2.5,2,0.2796,0.1398,NA,constant,100
3,2018-12-09,2.4,1,0.12,0.12,NA,constant,100
3,2018-12-09,2.6,1,0.1662,0.1662,NA,constant,100
3,2018-12-09,3.5,2,0.2521,0.12605,NA,pulse,100
3,2018-12-12,1.1,3,0.378,0.126,NA,constant,60
3,2018-12-12,3.7,1,0.0592,0.0592,NA,pulse,100
3,2018-12-12,1.6,1,0.071,0.071,NA,constant,60
3,2018-12-12,2.4,4,0.4087,0.102175,NA,constant,100
3,2018-12-12,4.2,2,0.1914,0.0957,NA,pulse,60
3,2018-12-12,4.1,1,0.0462,0.0462,NA,pulse,60
3,2018-12-15,1.1,2,0.2374,0.1187,NA,constant,60
3,2018-12-15,2.4,2,0.1745,0.08725,NA,constant,100
3,2018-12-15,2.2,5,0.5497,0.10994,NA,constant,100
3,2018-12-15,3.1,1,0.0754,0.0754,NA,pulse,100
3,2018-12-15,2.5,1,0.1281,0.1281,NA,constant,100
3,2018-12-18,3.7,1,0.1108,0.1108,NA,pulse,100
3,2018-12-18,4.1,2,0.1933,0.09665,NA,pulse,60
3,2018-12-18,3.4,7,0.7248,0.10354285714285714,NA,pulse,100
3,2018-12-18,2.6,2,0.3032,0.1516,NA,constant,100
3,2018-12-21,1.1,2,0.1371,0.06855,NA,constant,60
3,2018-12-21,1.3,2,0.1925,0.09625,NA,constant,60
3,2018-12-21,2.1,3,0.365,0.12166666666666666,NA,constant,100
3,2018-12-21,2.2,3,0.2157,0.0719,NA,constant,100
3,2018-12-21,2.3,1,0.0638,0.0638,NA,constant,100
3,2018-12-21,3.3,1,0.1422,0.1422,NA,pulse,100
3,2018-12-21,3.4,10,1.0123,0.10123,NA,pulse,100
3,2018-12-21,4.4,2,0.2379,0.11895,NA,pulse,60
3,2018-12-30,1.3,2,0.1971,0.09855,NA,constant,60
3,2018-12-30,1.4,1,0.1681,0.1681,NA,constant,60
3,2018-12-30,1.6,3,0.3397,0.11323333333333334,NA,constant,60
3,2018-12-30,1.2,5,0.4253,0.08506,NA,constant,60
3,2018-12-30,2.4,1,0.1053,0.1053,NA,constant,100
3,2018-12-30,2.5,7,1.1065,0.15807142857142858,NA,constant,100
3,2018-12-30,2.6,3,0.2887,0.09623333333333334,NA,constant,100
3,2018-12-30,3.1,7,0.885,0.12642857142857142,NA,pulse,100
