date,id,n.drones,drone.mass,avg.individ.mass,treatment
2018-04-09,2.3,5,0.58122,0.2422,zone.2
2018-04-16,1.3,2,0.1364,0.0379,zone.1
2018-04-16,4.7,1,0.09244,0.0402,zone.4
2018-04-20,2.2,1,0.08888,0.0684,zone.2
2018-04-16,4.2,1,0.14063,0.0299,zone.4
2018-04-05,3.2,3,0.30313,0.1378,zone.3
2018-04-20,2.5,2,0.2397,0.0571,zone.2
2018-04-20,4.6,4,0.40194,0.1256,zone.4
2018-04-13,1.2,5,0.52053,0.2082,zone.1
2018-04-05,1.5,5,0.414,0.09,zone.1
2018-04-20,3.6,1,0.9561,0.7968,zone.3
2018-04-13,3.2,1,0.11302,0.0753,zone.3
2018-04-20,2.3,2,0.33119,0.092,zone.2
2018-04-20,1.3,1,0.11471,0.0358,zone.1
2018-04-20,2.6,3,0.45049,0.1959,zone.2
2018-04-13,3.7,1,0.14352,0.1104,zone.3
2018-04-20,3.3,3,0.42708,0.1643,zone.3
2018-04-20,2.6,3,0.42874,0.1159,zone.2
2018-04-16,3.2,5,0.53461,0.162,zone.3
2018-04-20,4.4,4,0.46407,0.1785,zone.4
2018-04-05,3.6,5,0.86567,0.2705,zone.3
2018-04-05,4.4,2,0.34199,0.0777,zone.4
2018-04-05,4.2,4,0.5809,0.132,zone.4
2018-04-20,2.7,3,0.28789,0.08,zone.2
2018-04-20,1.7,2,0.19234,0.0437,zone.1
2018-04-16,2.7,5,0.58022,0.1381,zone.2
2018-04-20,2.1,3,0.34916,0.1293,zone.2
2018-04-05,2.6,2,0.29374,0.1088,zone.2
2018-04-05,2.2,3,0.42977,0.2047,zone.2
2018-04-20,3.1,5,0.62951,0.2421,zone.3
2018-04-05,2.1,2,0.29229,0.1329,zone.2
2018-04-09,4.6,4,0.38131,0.123,zone.4
2018-04-05,1.3,4,0.60769,0.2894,zone.1
2018-04-01,4.1,3,0.38295,0.0833,zone.4
2018-04-09,1.7,2,0.14334,0.1103,zone.1
2018-04-09,2.2,1,0.1732,0.0422,zone.2
2018-04-09,2.2,5,0.74902,0.4406,zone.2
2018-04-09,4.6,2,0.30112,0.1369,zone.4
2018-04-09,2.6,1,0.1482,0.0674,zone.2
2018-03-26,3.2,2,0.21277,0.0463,zone.3
2018-04-09,2.1,4,0.54263,0.2087,zone.2
2018-05-02,3.3,4,0.44628,0.1395,zone.3
2018-05-02,2.2,4,0.65302,0.311,zone.2
2018-04-24,3.4,1,0.12115,0.0367,zone.3
2018-03-26,2.6,5,0.57054,0.2593,zone.2
2018-04-24,2.5,3,0.33093,0.0973,zone.2
2018-04-24,4.6,3,0.22247,0.0856,zone.4
2018-04-24,3.5,5,0.65718,0.2629,zone.3
2018-05-02,1.6,4,0.51872,0.1128,zone.1
2018-05-02,4.6,2,0.20327,0.0581,zone.4
2018-05-02,2.7,2,0.26458,0.1654,zone.2
2018-05-02,2.5,2,0.28348,0.0616,zone.2
2018-05-02,4.1,2,0.22425,0.0831,zone.4
2018-05-02,3.7,4,0.49295,0.1972,zone.3
2018-05-02,3.5,4,0.43049,0.105,zone.3
2018-04-24,4.4,2,0.27557,0.0745,zone.4
2018-04-24,2.1,2,0.17962,0.0513,zone.2
2018-04-24,1.6,4,0.3524,0.0801,zone.1
2018-05-02,3.5,5,0.73766,0.3513,zone.3
2018-04-24,2.6,5,0.62927,0.3933,zone.2
2018-04-24,2.7,3,0.20517,0.0586,zone.2
2018-04-24,2.2,2,0.24186,0.093,zone.2
2018-05-02,3.2,4,0.34293,0.127,zone.3
2018-05-02,2.6,1,0.12477,0.0567,zone.2
2018-03-29,1.7,1,0.13116,0.041,zone.1
2018-03-26,3.5,6,0.66113,0.2543,zone.3
2018-05-02,2.2,3,0.43278,0.2546,zone.2
2018-04-24,3.7,1,0.11434,0.0327,zone.3
2018-03-12,1.7,1,0.08068,0.0367,zone.1
2018-04-24,4.2,5,0.57387,0.1551,zone.4
2018-04-01,4.1,5,0.54924,0.3231,zone.4
2018-03-29,2.5,4,0.47698,0.1136,zone.2
2018-03-26,2.3,1,0.0651,0.0159,zone.2
2018-03-26,3.7,3,0.45669,0.1827,zone.3
2018-03-26,3.1,1,0.15613,0.0679,zone.3
2018-04-01,2.3,2,0.28424,0.0768,zone.2
2018-03-29,3.3,2,0.27975,0.0902,zone.3
2018-03-15,1.1,1,0.04415,0.0192,zone.1
2018-03-29,1.6,1,0.11586,0.0351,zone.1
2018-04-01,2.1,5,0.74385,0.6762,zone.2
2018-04-01,4.6,5,0.70122,0.4383,zone.4
2018-04-01,4.4,5,0.68756,0.3274,zone.4
2018-03-12,2.3,1,0.04083,0.0089,zone.2
2018-04-01,3.3,2,0.3222,0.0732,zone.3
2018-05-02,2.6,2,0.28595,0.1243,zone.2
2018-04-24,3.3,3,0.47225,0.1431,zone.3
2018-05-02,2.6,4,0.59274,0.228,zone.2
